"X1";"X2";"X3";"X4";"X5";"X6";"X7";"X8";"X9";"X10"
"458295";"374";"114";"0";"bboost";"1000";"0";"0";"0";"Kane"
"4257660";"85";"121";"0";"bboost";"1000";"0";"0";"0";"Sánchez"
"286021";"2202";"107";"0";"bboost";"1000";"95";"0";"0";"Sánchez"
"504203";"593";"112";"0";"bboost";"1000";"0";"0";"0";"Salah"
"860818";"593";"112";"0";"bboost";"1000";"0";"0";"0";"van Aanholt"
"1771188";"2886";"106";"0";"bboost";"1000";"0";"0";"0";"Sánchez"
"3350617";"61388";"91";"10";"";"1000";"135";"0";"0";"Zaha"
"4358793";"61388";"91";"0";"bboost";"1000";"0";"0";"0";"Kane"
"936671";"73380";"90";"0";"bboost";"1000";"0";"0";"0";"van Aanholt"
"1056890";"1286";"109";"0";"bboost";"1000";"0";"0";"0";"Eriksen"
"3230613";"83755";"89";"0";"bboost";"1000";"20";"0";"0";"Alonso"
"3445377";"13594";"100";"0";"bboost";"1000";"0";"0";"0";"Wilson"
"4317971";"16627";"99";"0";"bboost";"1000";"20";"0";"0";"Morata"
"79094";"2202";"107";"0";"bboost";"1000";"0";"0";"0";"Sánchez"
"344913";"1286";"109";"32";"";"1000";"10";"0";"0";"Pereyra"
"759005";"33602";"95";"0";"bboost";"1000";"40";"0";"0";"Zaha"
"2064304";"297";"115";"0";"bboost";"1000";"5";"0";"0";"Salah"
"2438366";"6573";"103";"0";"bboost";"1000";"0";"0";"0";"Pogba"
"3597317";"39254";"94";"0";"bboost";"1000";"0";"0";"0";"Willian"
"3884833";"1286";"109";"0";"bboost";"1000";"25";"0";"0";"King"
"4111888";"374";"114";"0";"bboost";"1000";"25";"0";"0";"Salah"
"4475933";"191";"117";"0";"bboost";"1000";"20";"0";"0";"Salah"
"1813200";"39254";"94";"17";"";"1000";"85";"0";"0";"Pogba"
"2410401";"34";"126";"0";"bboost";"1000";"5";"0";"0";"Mané"
"3355504";"1702";"108";"0";"bboost";"1000";"0";"0";"0";"Zaha"
"2007124";"1009";"110";"0";"bboost";"1000";"0";"0";"0";"Sánchez"
"2876511";"28601";"96";"5";"";"1000";"0";"0";"0";"Zaha"
"393554";"28601";"96";"0";"bboost";"1000";"0";"0";"0";"Tosun"
"693545";"1009";"110";"0";"bboost";"1000";"0";"0";"0";"Sánchez"
"960600";"138391";"85";"0";"bboost";"1000";"5";"0";"0";"Tosun"
"1832914";"108221";"87";"0";"bboost";"1000";"0";"0";"0";"Sánchez"
"3843756";"13594";"100";"0";"bboost";"1000";"20";"0";"0";"Sánchez"
"4385388";"593";"112";"16";"";"1000";"5";"0";"0";"Pereyra"
"692243";"52892";"92";"0";"bboost";"1000";"20";"0";"0";"Pogba"
"993893";"1009";"110";"0";"bboost";"1000";"0";"0";"0";"Sánchez"
"1226875";"52892";"92";"0";"bboost";"1000";"0";"0";"0";"Sánchez"
"2785461";"238";"116";"0";"bboost";"1000";"0";"0";"0";"Salah"
"3102358";"23877";"97";"7";"3xc";"1000";"5";"0";"0";"Richarlison"
"4458166";"593";"112";"0";"bboost";"1000";"0";"0";"0";"Hazard"
"21934";"83755";"89";"5";"";"1000";"30";"0";"0";"Aubameyang"
"248624";"45610";"93";"6";"";"1000";"0";"0";"0";"Firmino"
"267646";"174246";"83";"6";"";"1000";"95";"0";"0";"Pereyra"
"374504";"19516";"98";"0";"bboost";"1000";"0";"0";"0";"Kane"
"595263";"45610";"93";"5";"3xc";"1000";"0";"0";"0";"Alonso"
"969853";"39254";"94";"2";"";"1000";"250";"0";"0";"Pedro"
"1334163";"122510";"86";"0";"bboost";"1000";"0";"0";"0";"Sánchez"
"1465325";"174246";"83";"0";"bboost";"1000";"20";"0";"0";"Hazard"
"1550095";"2202";"107";"0";"bboost";"1000";"0";"0";"0";"Sánchez"
"1567540";"39254";"94";"12";"";"1000";"0";"0";"0";"Aké"
"1614118";"52892";"92";"20";"";"1000";"0";"0";"0";"Alonso"
"14660";"51";"124";"0";"bboost";"1000";"10";"0";"0";"Mané"
"289444";"51";"124";"0";"bboost";"1000";"0";"0";"0";"Mané"
"338513";"51";"124";"0";"bboost";"1000";"15";"0";"0";"Salah"
"407954";"51";"124";"0";"bboost";"1000";"30";"0";"0";"Salah"
"533133";"51";"124";"0";"bboost";"1000";"55";"0";"0";"Mané"
"1451981";"51";"124";"0";"bboost";"1000";"5";"0";"0";"Sánchez"
"1472216";"51";"124";"0";"bboost";"1000";"0";"0";"0";"Salah"
"2179573";"51";"124";"0";"bboost";"1000";"10";"0";"0";"Rüdiger"
"2366531";"51";"124";"0";"bboost";"1000";"0";"0";"0";"Salah"
"2618980";"51";"124";"0";"bboost";"1000";"0";"0";"0";"Mané"
"31819";"61";"123";"0";"bboost";"1000";"5";"0";"0";"Mané"
"217919";"61";"123";"0";"bboost";"1000";"0";"0";"0";"Salah"
"464568";"61";"123";"0";"bboost";"1000";"0";"0";"0";"Salah"
"577231";"61";"123";"16";"3xc";"1000";"0";"0";"0";"Mané"
"1134404";"61";"123";"0";"bboost";"1000";"10";"0";"0";"Mané"
"1183803";"61";"123";"0";"bboost";"1000";"0";"0";"0";"Salah"
"1397428";"61";"123";"0";"bboost";"1000";"5";"0";"0";"Alonso"
"1646195";"61";"123";"12";"3xc";"1000";"5";"0";"0";"Mané"
"1889531";"61";"123";"0";"bboost";"1000";"0";"0";"0";"Mané"
"2184831";"61";"123";"0";"bboost";"1000";"0";"0";"0";"Mané"
"3213452";"61";"123";"0";"3xc";"1000";"0";"0";"0";"Mané"
"3236720";"61";"123";"0";"bboost";"1000";"0";"0";"0";"Salah"
"3343331";"61";"123";"0";"bboost";"1000";"5";"0";"0";"Mané"
"3630092";"61";"123";"0";"bboost";"1000";"0";"0";"0";"Mané"
"4095342";"61";"123";"0";"bboost";"1000";"5";"0";"0";"Firmino"
"199930";"76";"122";"0";"bboost";"1000";"0";"0";"0";"Mané"
"349088";"76";"122";"0";"bboost";"1000";"0";"0";"0";"Mané"
"375322";"76";"122";"0";"bboost";"1000";"0";"0";"0";"Salah"
"550658";"76";"122";"0";"bboost";"1000";"0";"0";"0";"Mané"
"756757";"76";"122";"0";"bboost";"1000";"0";"0";"0";"Mané"
"1932186";"76";"122";"0";"bboost";"1000";"0";"0";"0";"Salah"
"2463283";"76";"122";"0";"bboost";"1000";"0";"0";"0";"Salah"
"3845781";"76";"122";"0";"bboost";"1000";"5";"0";"0";"Salah"
"4547003";"76";"122";"0";"bboost";"1000";"0";"0";"0";"Mané"
"27585";"85";"121";"0";"bboost";"1000";"0";"0";"0";"Mané"
"117380";"85";"121";"8";"";"1000";"0";"0";"0";"Mané"
"117777";"85";"121";"0";"bboost";"1000";"0";"0";"0";"Mané"
"165434";"85";"121";"0";"bboost";"1000";"0";"0";"0";"Pedro"
"219012";"85";"121";"0";"bboost";"1000";"0";"0";"0";"Salah"
"294430";"85";"121";"3";"";"1000";"0";"0";"0";"Mané"
"370633";"85";"121";"0";"bboost";"1000";"0";"0";"0";"Salah"
"411466";"85";"121";"0";"bboost";"1000";"0";"0";"0";"Salah"
"463467";"85";"121";"0";"bboost";"1000";"5";"0";"0";"Mané"
"605322";"85";"121";"0";"bboost";"1000";"0";"0";"0";"Mané"
"736771";"85";"121";"0";"bboost";"1000";"0";"0";"0";"Mané"
"766042";"85";"121";"12";"3xc";"1000";"5";"0";"0";"Mané"
"889213";"85";"121";"0";"bboost";"1000";"10";"0";"0";"Salah"
"1048470";"85";"121";"0";"bboost";"1000";"0";"0";"0";"Salah"
"1127778";"85";"121";"0";"bboost";"1000";"0";"0";"0";"Salah"
"1157151";"85";"121";"0";"bboost";"1000";"0";"0";"0";"Mané"
