"id";"web_name";"selected_by_percent";"now_cost";"selected_by";"started_by";"benched_by";"captained_by";"vice_captained_by";"triple_captained_by"
280;"Agüero";"48.4";113;95;95;NA;17;58;NA
251;"Mané";"37.2";98;85;85;NA;13;25;NA
267;"Mendy";"33.0";63;85;85;NA;NA;NA;NA
393;"Richarlison";"23.5";67;81;80;1;NA;NA;NA
253;"Salah";"54.9";130;77;77;NA;69;3;6
247;"Robertson";"21.0";61;75;74;1;NA;NA;NA
115;"Alonso";"33.2";67;73;73;NA;1;NA;NA
145;"Wan-Bissaka";"21.9";41;65;NA;65;NA;NA;NA
260;"Ederson";"22.3";56;43;43;NA;NA;1;NA
480;"Mitrovic";"11.6";66;36;36;NA;NA;1;NA
151;"Zaha";"32.5";70;34;31;3;NA;NA;NA
357;"Trippier";"24.2";60;34;32;2;NA;NA;NA
433;"Neves";"23.6";51;31;8;23;NA;NA;NA
18;"Mkhitaryan";"20.3";71;28;27;1;NA;2;NA
43;"Wilson";"14.3";62;28;28;NA;NA;NA;NA
400;"Fabianski";"15.6";45;28;3;25;NA;NA;NA
445;"Foster";"4.8";45;25;17;8;NA;NA;NA
189;"Kamara";"11.2";45;20;NA;20;NA;NA;NA
370;"Lucas Moura";"8.7";71;20;20;NA;NA;NA;NA
417;"Arnautovic";"17.9";70;18;15;3;NA;NA;NA
468;"Alisson";"18.0";55;17;17;NA;NA;1;NA
72;"Tarkowski";"10.0";50;16;12;4;NA;NA;NA
45;"King";"4.4";64;15;15;NA;NA;NA;NA
95;"Peltier";"3.1";40;15;NA;15;NA;NA;NA
56;"Stephens";"8.5";45;12;NA;12;NA;NA;NA
190;"Hamer";"6.8";40;12;1;11;NA;NA;NA
258;"Ings";"5.3";56;12;10;2;NA;NA;NA
276;"Bernardo Silva";"10.4";76;12;12;NA;NA;NA;NA
391;"Pereyra";"11.0";62;12;12;NA;NA;NA;NA
122;"Hazard";"14.5";106;11;11;NA;NA;1;NA
125;"Pedro";"10.6";67;11;11;NA;NA;NA;NA
136;"Speroni";"12.5";40;11;NA;11;NA;NA;NA
246;"van Dijk";"18.5";60;11;11;NA;NA;NA;NA
182;"Cairney";"2.2";49;10;8;2;NA;NA;NA
245;"Alexander-Arnold";"17.1";50;10;10;NA;NA;NA;NA
459;"Jorginho";"14.6";51;10;7;3;NA;NA;NA
40;"Fraser";"5.3";56;9;6;3;NA;NA;NA
177;"Tosun";"5.5";70;9;9;NA;NA;NA;NA
