"id";"web_name";"selected_by_percent";"now_cost";"selected_by";"started_by";"benched_by";"captained_by";"vice_captained_by";"triple_captained_by"
145;"Wan-Bissaka";"32.3";44;4137;904;3233;NA;NA;NA
372;"Kane";"32.7";126;3442;3442;NA;1546;1267;7
122;"Hazard";"38.3";111;3305;3305;NA;2007;869;NA
253;"Salah";"42.0";133;3249;3237;12;109;645;NA
302;"Pogba";"30.8";84;3126;3124;2;256;771;1
425;"Doherty";"23.8";52;3070;2951;119;NA;7;NA
484;"Digne";"12.9";52;3034;2996;38;NA;1;NA
393;"Richarlison";"29.0";69;3005;2985;20;5;45;NA
247;"Robertson";"33.9";66;2974;1739;1235;NA;3;NA
400;"Fabianski";"18.4";48;2710;2556;154;NA;4;NA
437;"Jiménez";"22.3";64;2622;2501;121;3;33;NA
465;"Felipe Anderson";"19.8";74;2477;2468;9;8;120;NA
367;"Son";"17.2";88;2199;2199;NA;125;421;NA
305;"Rashford";"20.4";72;2180;1981;199;7;66;NA
115;"Alonso";"39.7";68;2135;2134;1;4;33;NA
23;"Aubameyang";"35.3";114;1772;1772;NA;887;503;NA
190;"Hamer";"7.7";40;1467;NA;1467;NA;NA;NA
43;"Wilson";"30.3";67;1083;965;118;NA;15;NA
116;"David Luiz";"12.4";59;994;990;4;NA;2;NA
427;"Bennett";"10.6";41;971;458;513;NA;NA;NA
189;"Kamara";"11.2";45;967;22;945;NA;NA;NA
8;"Kolasinac";"4.1";49;942;891;51;NA;4;NA
454;"Patrício";"8.8";45;917;541;376;NA;NA;NA
245;"Alexander-Arnold";"20.7";52;898;322;576;NA;NA;NA
40;"Fraser";"22.3";61;792;677;115;NA;4;NA
258;"Ings";"7.6";56;738;164;574;NA;NA;NA
301;"Martial";"8.1";73;675;668;7;9;28;NA
179;"Button";"2.6";40;636;86;550;NA;NA;NA
275;"Sané";"9.8";95;621;584;37;1;17;NA
260;"Ederson";"21.4";56;589;470;119;NA;NA;NA
246;"van Dijk";"26.6";64;519;322;197;NA;NA;NA
468;"Alisson";"24.7";59;514;384;130;NA;NA;NA
480;"Mitrovic";"16.3";66;504;291;213;NA;3;NA
489;"Snodgrass";"2.9";54;493;343;150;NA;3;NA
340;"Højbjerg";"2.9";44;485;NA;485;NA;NA;NA
378;"Holebas";"12.8";48;462;282;180;NA;NA;NA
286;"Shaw";"6.1";49;458;426;32;NA;NA;NA
239;"Lovren";"3.5";49;457;108;349;NA;NA;NA
445;"Foster";"4.6";45;445;196;249;NA;1;NA
