"id";"web_name";"selected_by_percent";"now_cost";"selected_by";"started_by";"benched_by";"captained_by";"vice_captained_by";"triple_captained_by"
234;"Salah";"39.2";94;30402;30388;14;8825;5757;86
260;"de Gea";"40.4";57;27172;25015;2157;138;3987;22
285;"Lukaku";"47.8";115;25321;25291;30;4751;7610;42
286;"Elliot";"26.7";42;23664;8414;15250;NA;165;NA
257;"Agüero";"22.6";118;18151;3377;14774;12952;2406;149
248;"David Silva";"22.6";85;17213;17200;13;583;2425;9
97;"Azpilicueta";"17.2";67;16050;16014;36;86;241;3
255;"Sané";"24.6";89;15620;15615;5;3052;2762;63
245;"Otamendi";"19.2";59;14983;14961;22;75;217;1
472;"Morata";"19.1";103;14313;14282;31;4464;3913;54
394;"Kane";"38.9";128;13875;1415;12460;2504;892;4
70;"Groß";"18.9";59;12357;11978;379;29;144;1
501;"Richarlison";"17.1";64;12228;12085;143;412;914;2
387;"Eriksen";"24.7";97;12210;12060;150;123;1016;3
247;"Sterling";"14.0";82;12017;11991;26;674;1350;9
381;"Davies";"19.8";58;11970;9399;2571;4;40;NA
374;"Abraham";"17.4";59;11904;9700;2204;18;165;NA
264;"Jones";"15.4";55;11711;11013;698;9;49;NA
78;"Ward";"17.1";48;11458;10562;896;4;64;NA
252;"De Bruyne";"19.9";101;11451;11448;3;1912;2866;24
259;"Jesus";"16.2";105;10895;10870;25;2495;2929;8
77;"Mee";"8.2";45;9254;8291;963;4;28;NA
414;"Doucouré";"17.7";54;8892;8471;421;25;130;NA
10;"Monreal";"10.7";56;8817;8748;69;18;69;NA
494;"Mbemba";"12.7";40;8305;129;8176;NA;6;NA
267;"Valencia";"14.6";67;8253;8067;186;19;121;NA
367;"Carroll";"6.7";45;8221;3830;4391;NA;10;NA
13;"Kolasinac";"10.6";60;7870;7816;54;61;113;NA
353;"Rangel";"11.6";39;7470;35;7435;2;1;NA
235;"Firmino";"18.8";85;7361;7341;20;997;1327;15
379;"Walker";"14.4";66;7169;7156;13;31;105;1
382;"Trippier";"9.4";57;7142;954;6188;7;27;NA
209;"Vardy";"15.2";86;6704;6679;25;500;1048;10
310;"Cédric";"8.2";50;6553;6040;513;2;17;NA
421;"Foster";"12.6";45;6497;463;6034;NA;34;NA
388;"Alli";"20.7";93;6431;6357;74;50;470;NA
242;"Stones";"9.8";57;6134;6097;37;7;39;NA
290;"Lascelles";"12.6";48;6072;5104;968;4;17;2
108;"Loftus-Cheek";"5.3";45;5995;3691;2304;5;27;NA
28;"Lacazette";"11.0";103;5991;5988;3;2247;1528;19
281;"Mkhitaryan";"15.4";81;5469;5372;97;15;304;NA
107;"Matic";"14.4";50;5403;4687;716;5;27;NA
468;"Hegazi";"21.0";47;5357;2592;2765;1;7;NA
487;"Chicharito";"12.8";69;5116;4877;239;54;189;1
497;"Choupo-Moting";"6.0";57;4900;4418;482;2;31;NA
34;"Daniels";"9.2";48;4504;2908;1596;NA;5;NA
306;"Forster";"9.5";51;4436;3590;846;1;165;2
377;"Alderweireld";"9.5";60;4422;4030;392;2;17;NA
479;"Hart";"8.8";44;4414;1452;2962;1;66;NA
350;"Fabianski";"8.3";46;4386;661;3725;NA;31;NA
308;"Yoshida";"5.1";51;4323;576;3747;NA;10;NA
94;"Courtois";"12.6";54;4273;3906;367;7;408;4
18;"Ramsey";"5.6";70;4114;4093;21;141;241;1
57;"Hünemeier";"7.2";39;3866;20;3846;NA;1;NA
41;"Surman";"6.6";47;3816;2412;1404;6;15;NA
300;"Atsu";"4.2";51;3805;3072;733;2;16;NA
100;"Alonso";"14.1";69;3804;3779;25;13;42;NA
23;"Xhaka";"11.0";55;3803;3591;212;4;44;NA
352;"Naughton";"5.6";46;3764;1649;2115;NA;2;NA
307;"Bertrand";"9.5";54;3723;3500;223;NA;4;NA
104;"Hazard";"5.1";106;3714;3713;1;1101;947;9
380;"Vertonghen";"8.7";60;3695;3383;312;1;20;NA
198;"Maguire";"7.6";51;3342;3116;226;2;14;NA
7;"Bellerín";"9.8";59;3327;3277;50;9;26;NA
111;"Kanté";"11.9";49;3188;112;3076;1;12;NA
295;"Ritchie";"4.4";59;3056;2792;264;3;16;NA
101;"David Luiz";"12.8";59;2966;2880;86;8;27;NA
193;"Simpson";"4.0";45;2942;2441;501;2;8;NA
226;"Coutinho";"4.6";89;2876;335;2541;271;278;1
373;"Ayew";"4.1";51;2859;1784;1075;5;20;NA
316;"Davis";"4.9";51;2792;2356;436;4;18;NA
250;"Fernandinho";"6.4";52;2775;2662;113;2;40;NA
348;"Diouf";"4.5";55;2585;2368;217;12;66;2
284;"Rashford";"8.1";76;2553;2261;292;16;99;NA
161;"Rooney";"9.8";73;2524;2399;125;30;148;1
271;"Bailly";"10.2";61;2392;1901;491;4;11;NA
216;"Moreno";"3.6";45;2375;2245;130;2;4;NA
375;"Lloris";"10.2";55;2333;1433;900;NA;190;1
405;"Mariappa";"4.1";40;2313;104;2209;1;2;NA
420;"Myhill";"3.6";40;2295;NA;2295;NA;1;NA
186;"Quaner";"3.5";45;2280;10;2270;NA;2;NA
320;"Oriol Romeu";"3.1";44;2275;1251;1024;NA;4;NA
172;"Mooy";"8.0";55;2204;1607;597;1;13;NA
463;"Bakayoko";"3.8";51;2143;2009;134;2;21;NA
407;"Kiko Femenía";"4.7";45;2123;1669;454;NA;3;NA
211;"Okazaki";"5.0";56;2106;1848;258;6;48;NA
227;"Can";"5.6";50;1968;1630;338;4;9;NA
31;"Federici";"2.9";40;1944;NA;1944;NA;NA;NA
218;"Gomez";"4.0";46;1865;1722;143;3;3;NA
116;"Speroni";"3.1";40;1796;123;1673;NA;2;NA
342;"Shaqiri";"4.1";59;1726;1450;276;10;10;NA
126;"Zaha";"4.4";68;1725;1698;27;30;77;NA
469;"Pope";"1.9";45;1678;1484;194;NA;20;NA
201;"King";"3.2";44;1671;68;1603;1;4;NA
159;"Calvert-Lewin";"2.1";50;1625;1103;522;5;6;NA
90;"Cork";"3.3";45;1606;914;692;NA;2;NA
55;"Dunk";"1.8";44;1593;1255;338;NA;5;NA
171;"Zanka";"7.4";46;1568;761;807;1;4;NA
293;"Gámez";"3.2";40;1561;17;1544;NA;NA;NA
127;"McArthur";"2.6";44;1549;24;1525;NA;2;NA
29;"Begovic";"3.8";45;1524;141;1383;NA;14;NA
165;"Löwe";"4.0";45;1522;654;868;NA;3;NA
105;"Fàbregas";"4.8";69;1482;1457;25;9;34;NA
60;"Rosenior";"2.8";40;1462;7;1455;NA;NA;NA
163;"Lössl";"9.2";46;1450;355;1095;NA;17;NA
72;"Hemed";"1.6";50;1437;124;1313;5;18;NA
76;"Lowton";"2.2";45;1375;1219;156;NA;6;NA
199;"Mahrez";"5.0";84;1354;1351;3;44;85;1
548;"Niasse";"2.3";49;1297;922;375;1;19;NA
106;"Willian";"7.1";67;1273;1209;64;NA;26;NA
56;"Duffy";"1.9";45;1247;1034;213;NA;3;NA
191;"Morgan";"2.8";45;1245;1026;219;1;4;NA
135;"Pickford";"6.5";49;1194;303;891;NA;22;1
327;"Gabbiadini";"3.0";66;1181;1126;55;10;57;NA
80;"Long";"2.5";39;1135;6;1129;NA;1;NA
109;"Pedro";"2.3";79;1129;1124;5;16;80;1
354;"Fernández";"3.3";45;1127;521;606;NA;NA;NA
14;"Sánchez";"2.8";118;1116;1115;1;814;124;7
384;"Dier";"3.1";49;1105;750;355;1;4;NA
63;"Stephens";"1.7";45;1099;646;453;NA;5;NA
164;"Schindler";"4.0";46;1061;432;629;NA;1;NA
37;"Brad Smith";"2.9";40;1051;2;1049;NA;NA;NA
262;"Joel Pereira";"2.7";39;1030;NA;1030;NA;NA;NA
162;"Coleman";"1.5";40;983;NA;983;NA;NA;NA
505;"Ladapo";"1.8";45;982;16;966;NA;2;NA
424;"Dawson";"2.0";49;964;19;945;NA;3;NA
289;"Clark";"2.4";45;957;41;916;NA;2;NA
