"id";"web_name";"now_cost";"selected_by";"started_by";"benched_by";"captained_by";"vice_captained_by";"triple_captained_by"
89;"Walters";54;116;2;114;NA;NA;NA
340;"Arnautovic";69;115;4;111;NA;NA;NA
454;"Antonio";75;115;108;7;3;1;NA
72;"Hemed";49;114;24;90;NA;NA;NA
467;"Aarons";45;112;NA;112;NA;NA;NA
417;"Deeney";65;110;34;76;1;NA;NA
433;"Field";45;110;4;106;NA;NA;NA
453;"Lanzini";69;110;47;63;NA;NA;NA
383;"Wimmer";44;108;6;102;NA;NA;NA
136;"Robles";45;107;3;104;NA;3;NA
473;"Jakupovic";44;106;NA;106;NA;NA;NA
398;"Kaboul";44;103;NA;103;NA;NA;NA
488;"Joselu";55;102;37;65;1;2;NA
33;"Steve Cook";49;101;19;82;NA;NA;NA
81;"Taylor";44;101;2;99;NA;NA;NA
253;"Gündogan";54;100;NA;100;NA;NA;NA
484;"Mendy";65;100;55;45;NA;NA;NA
212;"Slimani";68;99;30;69;NA;NA;NA
496;"Hayden";45;99;23;76;NA;NA;NA
119;"Ward";49;98;45;53;NA;NA;NA
120;"Kelly";44;98;26;72;NA;NA;NA
104;"Hazard";105;97;4;93;2;1;NA
343;"Imbula";45;96;NA;96;NA;NA;NA
36;"Mings";44;95;23;72;NA;NA;NA
129;"Cabaye";55;95;27;68;NA;NA;NA
5;"Mertesacker";50;91;3;88;NA;NA;NA
71;"Murray";58;88;1;87;NA;NA;NA
217;"Clyne";54;85;1;84;NA;NA;NA
123;"Schlupp";49;84;NA;84;NA;NA;NA
491;"Lokilo";44;84;NA;84;NA;NA;NA
58;"Bruno";45;82;16;66;NA;NA;NA
246;"Delph";45;82;NA;82;NA;NA;NA
14;"Sánchez";119;81;66;15;7;10;1
446;"Masuaku";44;80;4;76;NA;NA;NA
288;"Yedlin";44;79;NA;79;NA;NA;NA
408;"Cleverley";50;77;49;28;NA;NA;NA
168;"Cranie";40;76;NA;76;NA;NA;NA
275;"Fellaini";49;75;31;44;NA;NA;NA
298;"Diamé";49;75;12;63;NA;NA;NA
486;"Watson";45;73;NA;73;NA;NA;NA
152;"Besic";45;72;12;60;NA;NA;NA
210;"Ulloa";49;72;NA;72;1;NA;NA
426;"Livermore";50;72;35;37;NA;NA;NA
228;"Lallana";74;71;2;69;NA;1;NA
315;"Bednarek";44;69;NA;69;NA;NA;NA
441;"Collins";45;69;28;41;NA;NA;NA
268;"Darmian";52;68;3;65;NA;NA;NA
410;"Behrami";45;68;2;66;NA;NA;NA
497;"Choupo-Moting";55;68;30;38;NA;NA;NA
85;"Defour";55;66;31;35;NA;1;NA
361;"Britton";45;66;1;65;NA;NA;NA
416;"Hughes";48;66;1;65;NA;NA;NA
304;"Murphy";45;65;NA;65;NA;NA;NA
445;"Byram";44;64;1;63;NA;NA;NA
9;"Jenkinson";45;63;3;60;NA;NA;NA
378;"Rose";64;63;NA;63;NA;NA;NA
231;"Grujic";44;61;7;54;NA;NA;NA
393;"Sissoko";54;61;26;35;1;NA;NA
145;"Kenny";44;60;2;58;NA;NA;NA
207;"Musa";64;59;1;58;NA;NA;NA
450;"Noble";55;57;28;29;NA;NA;NA
500;"Lemina";50;57;18;39;NA;NA;NA
113;"Batshuayi";82;56;28;28;NA;3;NA
202;"Drinkwater";49;55;1;54;NA;NA;NA
482;"Riedewald";49;55;1;54;NA;NA;NA
499;"Sinclair";50;55;NA;55;NA;NA;NA
169;"Stankovic";40;54;NA;54;NA;NA;NA
4;"Koscielny";60;53;31;22;NA;1;NA
430;"McClean";50;53;30;23;NA;NA;NA
490;"Pröpper";55;53;21;32;NA;NA;NA
173;"van La Parra";49;51;15;36;NA;1;NA
396;"Pantilimon";45;51;NA;51;NA;NA;NA
466;"de Jong";49;51;NA;51;NA;NA;NA
404;"Janmaat";49;49;NA;49;NA;NA;NA
334;"Bardsley";44;48;NA;48;NA;NA;NA
86;"Hendrick";54;46;1;45;NA;NA;NA
233;"Woodburn";44;46;NA;46;NA;NA;NA
338;"Adam";49;46;NA;46;NA;NA;NA
178;"Whitehead";44;45;NA;45;NA;NA;NA
167;"Hefele";44;44;1;43;NA;NA;NA
114;"Costa";96;43;4;39;7;3;1
431;"Leko";45;43;1;42;NA;NA;NA
236;"Sturridge";80;42;36;6;NA;2;NA
187;"Depoitre";53;40;NA;40;NA;NA;NA
344;"Bojan";55;40;1;39;NA;NA;NA
66;"March";50;39;10;29;NA;NA;NA
356;"van der Hoorn";45;39;25;14;NA;1;NA
1;"Ospina";49;38;NA;38;1;2;NA
214;"Karius";49;38;6;32;NA;NA;NA
305;"McCarthy";45;38;NA;38;NA;NA;NA
309;"Targett";44;38;NA;38;NA;NA;NA
412;"Amrabat";50;38;20;18;NA;NA;NA
141;"Pennington";40;37;NA;37;NA;NA;NA
238;"Origi";74;37;1;36;NA;NA;NA
322;"Boufal";58;37;1;36;NA;NA;NA
415;"Pereyra";59;37;NA;37;NA;NA;NA
462;"Malone";44;37;NA;37;NA;NA;NA
355;"Kingsley";45;36;NA;36;NA;NA;NA
485;"Bartley";45;35;1;34;NA;NA;NA
508;"Wilson";40;35;1;34;NA;NA;NA
205;"Mendy";45;34;NA;34;NA;NA;NA
391;"Winks";49;33;7;26;NA;NA;NA
59;"Bong";44;32;NA;32;NA;NA;NA
88;"Westwood";45;31;3;28;NA;NA;NA
376;"Vorm";50;31;1;30;NA;NA;NA
128;"Lee Chung-yong";44;29;6;23;NA;NA;NA
157;"Lookman";54;29;1;28;NA;NA;NA
314;"McQueen";45;29;7;22;NA;NA;NA
208;"Iborra";59;28;1;27;NA;NA;NA
312;"Pied";43;28;NA;28;NA;NA;NA
478;"Murphy";53;28;10;18;NA;NA;NA
180;"Scannell";45;27;NA;27;NA;NA;NA
470;"Christensen";55;27;20;7;NA;NA;NA
261;"Romero";49;26;2;24;NA;2;NA
362;"Fulton";45;26;NA;26;NA;NA;NA
360;"Routledge";55;25;6;19;NA;NA;NA
369;"Narsingh";49;25;NA;25;NA;NA;NA
458;"Sakho";55;25;11;14;NA;NA;NA
50;"Mousset";50;24;4;20;NA;NA;NA
395;"Janssen";74;24;2;22;1;NA;NA
195;"Benalouane";44;22;NA;22;NA;NA;NA
69;"Murphy";50;21;9;12;NA;NA;NA
251;"Fernando";45;21;NA;21;NA;NA;NA
506;"Taylor";40;21;NA;21;NA;NA;NA
8;"Gibbs";50;20;1;19;NA;NA;NA
323;"Sims";45;20;NA;20;NA;NA;NA
43;"Gosling";49;19;1;18;NA;NA;NA
64;"Kayal";45;19;NA;19;NA;NA;NA
96;"Caballero";49;19;NA;19;NA;1;NA
279;"Lingard";59;19;11;8;NA;NA;NA
333;"Muniesa";45;19;NA;19;NA;NA;NA
40;"Pugh";49;18;NA;18;NA;NA;NA
469;"Pope";45;18;NA;18;NA;NA;NA
471;"Musonda";49;18;NA;18;NA;NA;NA
366;"Dyer";45;17;NA;17;NA;NA;NA
84;"Gudmundsson";50;16;3;13;NA;NA;NA
153;"Lennon";55;16;8;8;NA;NA;NA
176;"Lolley";44;16;NA;16;NA;NA;NA
481;"Brown";54;16;NA;16;NA;NA;NA
505;"Ladapo";45;16;NA;16;NA;NA;NA
27;"Pérez";74;15;NA;15;NA;1;NA
221;"Sakho";49;15;NA;15;NA;NA;NA
386;"Lamela";64;15;1;14;NA;NA;NA
95;"Eduardo";49;14;NA;14;NA;NA;NA
130;"Sako";49;14;NA;14;NA;NA;NA
185;"Wells";50;14;NA;14;NA;NA;NA
190;"Hamer";45;14;NA;14;NA;NA;NA
495;"Merino";50;14;7;7;NA;NA;NA
149;"Barkley";74;13;NA;13;NA;NA;NA
183;"Palmer";54;13;4;9;NA;NA;NA
364;"Montero";49;13;NA;13;NA;NA;NA
194;"Huth";50;12;NA;12;NA;NA;NA
371;"Llorente";74;12;NA;12;NA;NA;NA
476;"Pereira";49;12;NA;12;NA;NA;NA
493;"Diaz";49;12;NA;12;NA;NA;NA
518;"Wood";65;12;9;3;NA;NA;NA
44;"Gradel";50;11;NA;11;NA;NA;NA
110;"Kenedy";49;11;NA;11;NA;NA;NA
243;"Kolarov";55;11;NA;11;NA;NA;NA
79;"Tarkowski";45;10;1;9;NA;NA;NA
237;"Ings";54;10;NA;10;NA;NA;NA
403;"Kabasele";45;10;5;5;NA;NA;NA
492;"Foden";49;10;NA;10;NA;NA;NA
174;"Hogg";45;9;NA;9;NA;NA;NA
184;"Williams";49;9;3;6;NA;NA;NA
524;"Burke";55;9;5;4;NA;1;NA
179;"Bunn";45;8;NA;8;NA;NA;NA
457;"Carroll";59;8;NA;8;NA;NA;NA
82;"Arfield";49;7;1;6;NA;NA;NA
150;"McCarthy";49;7;NA;7;NA;NA;NA
439;"Randolph";45;7;NA;7;NA;NA;NA
519;"Clucas";50;7;5;2;NA;NA;NA
266;"Rojo";55;6;NA;6;NA;NA;NA
460;"Valencia";50;6;NA;6;NA;NA;NA
489;"Nelson";50;6;NA;6;NA;NA;NA
6;"Gabriel";50;5;NA;5;NA;NA;NA
73;"Baldock";50;5;NA;5;NA;NA;NA
147;"Bolasie";65;5;NA;5;NA;NA;NA
413;"Success";54;5;NA;5;NA;NA;NA
455;"Feghouli";55;5;NA;5;NA;NA;NA
24;"Wilshere";54;4;NA;4;NA;NA;NA
42;"Stanislas";59;4;NA;4;NA;NA;NA
229;"Sheyi Ojo";50;4;NA;4;NA;NA;NA
502;"Mangala";50;4;NA;4;NA;NA;NA
520;"Sánchez";60;4;3;1;NA;NA;NA
17;"Cazorla";70;3;NA;3;NA;NA;NA
48;"Callum Wilson";60;3;NA;3;NA;NA;NA
67;"Skalak";49;3;NA;3;NA;NA;NA
68;"Norwood";45;3;NA;3;NA;NA;NA
75;"Robinson";45;3;NA;3;NA;NA;NA
133;"Wickham";55;3;1;2;NA;NA;NA
139;"Coleman";65;3;NA;3;NA;NA;NA
142;"Funes Mori";50;3;NA;3;NA;NA;NA
197;"Wagué";45;3;NA;3;NA;NA;NA
265;"Shaw";49;3;NA;3;NA;NA;NA
341;"Afellay";49;3;NA;3;NA;NA;NA
363;"Ki Sung-yueng";50;3;NA;3;NA;NA;NA
392;"Nkoudou";54;3;NA;3;NA;NA;NA
399;"Cathcart";45;3;1;2;NA;NA;NA
419;"Zárate";54;3;NA;3;NA;NA;NA
83;"Marney";45;2;NA;2;NA;NA;NA
177;"Payne";45;2;NA;2;NA;NA;NA
224;"Lucas";45;2;NA;2;NA;NA;NA
283;"McTominay";44;2;NA;2;NA;NA;NA
336;"Tymon";45;2;NA;2;NA;NA;NA
339;"Whelan";45;2;NA;2;NA;NA;NA
511;"Carter-Vickers";45;2;NA;2;NA;NA;NA
515;"Kaikai";45;2;NA;2;NA;NA;NA
517;"Izquierdo";60;2;1;1;NA;NA;NA
122;"Souaré";45;1;NA;1;NA;NA;NA
277;"Young";49;1;NA;1;NA;NA;NA
411;"Berghuis";50;1;NA;1;NA;NA;NA
428;"Morrison";55;1;NA;1;NA;NA;NA
451;"Kouyaté";50;1;NA;1;NA;NA;NA
504;"Scott";45;1;NA;1;NA;NA;NA
507;"Harper";45;1;NA;1;NA;NA;NA
513;"Martins Indi";50;1;1;NA;NA;NA;NA
523;"Ibrahimovic";100;1;1;NA;NA;NA;NA
