"id";"web_name";"selected_by_percent";"now_cost";"selected_by";"started_by";"benched_by";"captained_by";"vice_captained_by";"triple_captained_by"
115;"Alonso";"47.9";71;4086;4047;39;2;27;NA
145;"Wan-Bissaka";"28.4";42;3954;1819;2135;NA;1;NA
247;"Robertson";"32.2";65;3432;3269;163;2;8;NA
417;"Arnautovic";"21.9";72;3397;3388;9;136;496;NA
393;"Richarlison";"31.2";70;3348;3317;31;68;210;NA
43;"Wilson";"38.6";69;3294;3269;25;337;479;NA
270;"Sterling";"20.8";115;3004;2993;11;619;842;NA
425;"Doherty";"17.7";49;2819;321;2498;NA;NA;NA
253;"Salah";"35.0";130;2500;2500;NA;1172;918;NA
40;"Fraser";"26.8";62;2453;2340;113;18;34;1
122;"Hazard";"35.1";110;2285;2281;4;149;497;NA
400;"Fabianski";"14.6";45;2149;2031;118;2;7;NA
372;"Kane";"27.3";124;2120;2120;NA;1921;166;NA
245;"Alexander-Arnold";"28.4";53;2113;2089;24;4;9;NA
465;"Felipe Anderson";"11.8";71;1714;1703;11;65;179;1
190;"Hamer";"8.3";40;1640;5;1635;NA;NA;NA
275;"Sané";"10.9";94;1600;1599;1;201;318;NA
437;"Jiménez";"14.8";60;1552;568;984;1;3;NA
23;"Aubameyang";"25.7";112;1527;1513;14;77;317;NA
268;"Laporte";"16.6";61;1274;1252;22;NA;NA;NA
260;"Ederson";"26.5";58;1234;1174;60;NA;5;NA
427;"Bennett";"11.0";42;1231;16;1215;NA;NA;NA
454;"Patrício";"9.4";46;1016;298;718;NA;NA;NA
484;"Digne";"3.3";49;864;832;32;NA;2;NA
251;"Mané";"29.7";98;828;763;65;17;71;NA
340;"Højbjerg";"4.1";45;649;3;646;NA;NA;NA
47;"Ryan";"6.0";46;595;408;187;NA;1;NA
301;"Martial";"12.3";76;589;490;99;NA;7;NA
280;"Agüero";"36.2";113;570;495;75;73;83;NA
271;"David Silva";"11.7";87;525;522;3;21;71;NA
