"id";"web_name";"selected_by_percent";"now_cost";"selected_by";"started_by";"benched_by";"captained_by";"vice_captained_by";"triple_captained_by"
251;"Mané";"18.0";95;4644;4632;12;1689;933;133
393;"Richarlison";"20.3";65;4408;4311;97;11;40;7
267;"Mendy";"10.9";60;4037;3929;108;3;2;1
247;"Robertson";"15.7";60;3720;3695;25;4;18;1
145;"Wan-Bissaka";"16.9";40;3708;1111;2597;NA;NA;NA
280;"Agüero";"31.9";110;3684;3668;16;29;1756;NA
253;"Salah";"54.3";130;3418;3418;NA;3007;215;65
151;"Zaha";"31.4";70;2924;2838;86;16;112;NA
276;"Bernardo Silva";"7.0";75;2643;2615;28;2;37;NA
45;"King";"7.9";65;1834;1726;108;10;77;NA
445;"Foster";"5.0";45;1693;1505;188;NA;98;NA
400;"Fabianski";"19.1";45;1652;45;1607;NA;3;NA
286;"Shaw";"6.7";50;1618;1565;53;NA;1;NA
142;"van Aanholt";"5.7";55;1426;1372;54;4;1;NA
95;"Peltier";"4.1";40;1421;11;1410;NA;NA;NA
257;"Firmino";"36.5";95;1349;1336;13;57;447;1
260;"Ederson";"17.6";55;1232;1114;118;NA;146;NA
432;"Jota";"6.4";65;1030;917;113;NA;7;NA
433;"Neves";"16.8";50;965;686;279;2;8;1
28;"Daniels";"17.6";45;843;513;330;NA;2;NA
189;"Kamara";"10.9";45;841;23;818;NA;1;NA
177;"Tosun";"6.6";70;828;772;56;6;27;NA
56;"Stephens";"11.3";45;793;4;789;NA;NA;NA
295;"Sánchez";"9.7";105;726;723;3;85;271;NA
417;"Arnautovic";"20.6";70;697;407;290;1;4;NA
23;"Aubameyang";"19.9";110;675;655;20;3;143;NA
335;"Bednarek";"5.5";40;658;NA;658;NA;NA;NA
115;"Alonso";"17.0";65;612;591;21;10;11;1
282;"De Gea";"30.2";60;611;581;30;1;90;NA
138;"Tomkins";"8.9";45;596;249;347;NA;NA;NA
155;"Stekelenburg";"4.8";40;570;1;569;NA;5;NA
24;"Begovic";"4.9";45;545;347;198;NA;29;NA
131;"Hudson-Odoi";"2.4";45;537;NA;537;1;NA;1
454;"Patrício";"6.4";45;476;140;336;NA;11;NA
364;"Eriksen";"17.5";95;461;457;4;5;76;NA
490;"Hart";"4.6";45;405;243;162;NA;24;NA
182;"Cairney";"3.1";50;399;42;357;NA;1;NA
190;"Hamer";"3.1";40;394;3;391;NA;NA;NA
72;"Tarkowski";"9.8";50;378;275;103;NA;NA;NA
468;"Alisson";"14.2";55;378;349;29;NA;72;NA
40;"Fraser";"1.6";55;373;314;59;1;2;NA
