"id";"web_name";"selected_by_percent";"now_cost";"selected_by";"started_by";"benched_by";"captained_by";"vice_captained_by";"triple_captained_by"
285;"Lukaku";"56.3";117;34460;34436;24;24290;4617;332
282;"Pogba";"25.8";82;31950;31910;40;4381;4729;84
235;"Firmino";"32.0";87;26010;25685;325;2587;3596;26
260;"de Gea";"35.0";55;20974;20368;606;274;5703;6
388;"Alli";"34.9";95;20107;20028;79;691;2715;5
234;"Salah";"31.6";92;20086;19899;187;972;2726;12
387;"Eriksen";"27.7";97;19909;19866;43;1468;2950;7
487;"Chicharito";"24.3";71;16721;15821;900;1189;1582;4
286;"Elliot";"22.2";41;15729;1898;13831;NA;189;NA
101;"David Luiz";"25.6";60;15415;15102;313;91;269;NA
381;"Davies";"19.9";57;14262;13730;532;15;40;NA
281;"Mkhitaryan";"28.7";84;12610;12578;32;854;1686;12
230;"Mané";"14.8";95;12269;12194;75;568;1982;12
472;"Morata";"18.4";102;11397;11354;43;3677;1959;66
100;"Alonso";"21.2";71;11374;11311;63;91;269;NA
271;"Bailly";"16.9";62;10926;10845;81;77;163;2
468;"Hegazi";"28.1";49;10913;9886;1027;18;92;1
111;"Kanté";"18.7";50;10881;9397;1484;33;141;5
421;"Foster";"17.6";45;10605;7217;3388;5;785;1
353;"Rangel";"14.3";40;10222;47;10175;NA;1;NA
310;"Cédric";"11.0";50;9384;8625;759;4;22;NA
161;"Rooney";"16.5";75;8951;7833;1118;269;749;1
307;"Bertrand";"14.1";55;8812;8489;323;16;51;NA
106;"Willian";"15.3";70;8599;8103;496;31;197;NA
252;"De Bruyne";"18.6";99;8101;8049;52;386;1261;4
13;"Kolasinac";"10.7";60;7075;6809;266;80;76;1
108;"Loftus-Cheek";"7.6";45;6958;50;6908;NA;1;NA
259;"Jesus";"10.9";105;6889;6854;35;1273;1325;14
34;"Daniels";"12.7";49;6572;3305;3267;1;3;NA
394;"Kane";"30.1";125;6449;6435;14;3055;1531;56
379;"Walker";"12.5";65;6349;5350;999;6;28;NA
479;"Hart";"9.7";45;6112;1524;4588;3;188;NA
267;"Valencia";"9.4";65;6018;5977;41;53;105;NA
377;"Alderweireld";"13.8";60;5997;5681;316;8;61;NA
367;"Carroll";"6.2";45;5846;1612;4234;1;4;NA
77;"Mee";"7.7";45;5759;3573;2186;7;16;NA
94;"Courtois";"14.3";55;5379;4289;1090;16;1109;NA
97;"Azpilicueta";"9.7";65;5296;5180;116;22;59;1
306;"Forster";"8.1";50;5253;4344;909;17;689;NA
146;"Keane";"12.1";55;5200;3593;1607;NA;14;NA
172;"Mooy";"12.8";57;5122;4128;994;18;65;NA
248;"David Silva";"12.0";82;5102;4989;113;51;308;NA
23;"Xhaka";"13.7";56;4978;3999;979;21;88;NA
375;"Lloris";"13.2";55;4892;3718;1174;27;1088;1
494;"Mbemba";"7.9";40;4327;39;4288;NA;2;NA
424;"Dawson";"5.4";50;4008;3631;377;7;15;NA
107;"Matic";"15.1";50;3986;3042;944;7;48;NA
135;"Pickford";"9.3";50;3918;1279;2639;NA;302;NA
483;"Danilo";"5.3";55;3613;2944;669;1;3;NA
28;"Lacazette";"12.0";104;3486;3436;50;1144;527;20
57;"Hünemeier";"5.1";39;3409;12;3397;NA;NA;NA
7;"Bellerín";"10.2";59;3397;3109;288;22;29;NA
227;"Can";"7.4";50;3186;1639;1547;NA;14;NA
380;"Vertonghen";"8.0";60;3182;2979;203;6;30;NA
209;"Vardy";"11.5";85;3156;2921;235;204;282;2
245;"Otamendi";"7.5";55;3156;2598;558;2;12;1
327;"Gabbiadini";"4.2";69;3058;2869;189;117;218;NA
242;"Stones";"5.6";55;2952;2391;561;3;14;NA
264;"Jones";"7.0";51;2857;2790;67;4;15;NA
193;"Simpson";"4.7";45;2826;748;2078;NA;NA;NA
512;"Jesé";"9.8";60;2791;1739;1052;2;21;NA
352;"Naughton";"4.7";45;2756;2165;591;5;14;NA
140;"Jagielka";"6.5";50;2736;145;2591;3;8;NA
324;"Redmond";"5.7";65;2706;2407;299;15;44;NA
31;"Federici";"4.0";40;2606;NA;2606;NA;3;NA
257;"Agüero";"10.1";114;2606;2584;22;817;557;8
29;"Begovic";"4.8";45;2539;266;2273;NA;44;NA
300;"Atsu";"3.3";50;2531;1463;1068;NA;20;NA
171;"Zanka";"9.9";46;2515;1768;747;4;6;NA
308;"Yoshida";"2.4";50;2513;175;2338;6;8;NA
414;"Doucouré";"9.4";52;2513;1971;542;2;16;NA
284;"Rashford";"6.6";75;2473;2337;136;132;164;3
186;"Quaner";"3.9";45;2384;12;2372;NA;1;NA
420;"Myhill";"3.7";40;2377;NA;2377;NA;3;NA
320;"Oriol Romeu";"3.5";45;2336;518;1818;1;2;NA
374;"Abraham";"3.8";55;2336;1888;448;64;94;NA
350;"Fabianski";"4.2";45;2307;954;1353;4;134;NA
78;"Ward";"4.5";45;2229;1744;485;4;11;NA
138;"Baines";"8.3";60;2165;1534;631;NA;8;NA
198;"Maguire";"7.0";51;2081;1106;975;NA;3;NA
318;"Tadic";"4.2";65;2037;1876;161;12;70;NA
501;"Richarlison";"4.7";60;2024;1605;419;2;21;NA
105;"Fàbregas";"5.8";69;1923;1795;128;15;67;NA
405;"Mariappa";"3.1";40;1884;330;1554;NA;NA;NA
22;"Elneny";"3.2";45;1883;61;1822;2;4;1
127;"McArthur";"3.0";45;1855;280;1575;NA;NA;NA
164;"Schindler";"4.5";46;1831;1122;709;3;3;NA
37;"Brad Smith";"4.2";40;1804;11;1793;NA;NA;NA
74;"Heaton";"5.7";50;1791;554;1237;3;98;NA
382;"Trippier";"2.8";54;1790;1459;331;4;NA;NA
38;"Aké";"5.0";50;1783;556;1227;NA;NA;NA
