"id";"web_name";"selected_by_percent";"now_cost";"selected_by";"started_by";"benched_by";"captained_by";"vice_captained_by";"triple_captained_by"
253;"Salah";"48.4";135;4736;4735;1;4363;249;2
305;"Rashford";"36.0";76;4371;4367;4;60;1046;NA
145;"Wan-Bissaka";"33.1";45;4206;112;4094;NA;NA;NA
302;"Pogba";"37.8";86;4024;4024;NA;182;1571;NA
484;"Digne";"16.7";53;3743;3530;213;NA;2;NA
247;"Robertson";"36.3";67;3534;3533;1;2;28;NA
425;"Doherty";"23.1";52;3035;2687;348;NA;3;NA
393;"Richarlison";"27.0";69;2994;2880;114;1;27;NA
437;"Jiménez";"23.9";64;2886;2635;251;1;15;NA
122;"Hazard";"35.3";111;2878;2874;4;32;437;NA
400;"Fabianski";"17.8";48;2454;1880;574;NA;3;NA
275;"Sané";"15.4";96;1674;1674;NA;85;452;NA
23;"Aubameyang";"32.5";113;1540;1529;11;3;152;NA
465;"Felipe Anderson";"17.7";73;1531;1464;67;2;21;NA
190;"Hamer";"7.0";40;1307;3;1304;NA;NA;NA
245;"Alexander-Arnold";"16.4";52;1116;803;313;NA;NA;NA
189;"Kamara";"11.3";45;1081;13;1068;NA;NA;NA
116;"David Luiz";"13.4";59;1064;629;435;NA;2;NA
115;"Alonso";"35.7";66;1015;765;250;NA;4;NA
257;"Firmino";"21.9";93;1002;1001;1;17;225;NA
427;"Bennett";"10.3";41;888;252;636;NA;2;NA
286;"Shaw";"8.1";50;853;842;11;NA;1;NA
454;"Patrício";"8.6";45;831;533;298;NA;NA;NA
179;"Button";"3.5";40;792;58;734;NA;NA;NA
280;"Agüero";"25.1";113;790;789;1;104;292;NA
246;"van Dijk";"28.4";65;693;692;1;1;7;NA
40;"Fraser";"22.5";61;681;626;55;1;NA;NA
335;"Bednarek";"5.4";39;661;83;578;NA;NA;NA
270;"Sterling";"10.9";113;634;634;NA;99;262;1
504;"Camarasa";"2.7";46;620;83;537;NA;NA;NA
468;"Alisson";"25.4";60;599;596;3;NA;1;NA
