"id";"position";"is_captain";"is_vice_captain";"multiplier";"web_name";"now_cost";"selected_by_percent"
154;1;FALSE;FALSE;1;"Pickford";50;"13.5"
247;2;FALSE;FALSE;1;"Robertson";67;"36.3"
115;3;FALSE;FALSE;1;"Alonso";66;"35.7"
484;4;FALSE;FALSE;1;"Digne";53;"16.7"
245;5;FALSE;FALSE;1;"Alexander-Arnold";52;"16.4"
302;6;FALSE;TRUE;1;"Pogba";86;"37.8"
253;7;TRUE;FALSE;2;"Salah";135;"48.4"
391;8;FALSE;FALSE;1;"Pereyra";63;"16.5"
280;9;FALSE;FALSE;1;"Agüero";113;"25.1"
305;10;FALSE;FALSE;1;"Rashford";76;"36.0"
437;11;FALSE;FALSE;1;"Jiménez";64;"23.9"
24;12;FALSE;FALSE;1;"Begovic";44;"3.6"
425;13;FALSE;FALSE;1;"Doherty";52;"23.1"
126;14;FALSE;FALSE;1;"Kanté";50;"18.8"
450;15;FALSE;FALSE;1;"Torreira";49;"5.0"
179;1;FALSE;FALSE;1;"Button";40;"3.5"
286;2;FALSE;FALSE;1;"Shaw";50;"8.1"
115;3;FALSE;FALSE;1;"Alonso";66;"35.7"
247;4;FALSE;FALSE;1;"Robertson";67;"36.3"
253;5;FALSE;TRUE;1;"Salah";135;"48.4"
302;6;FALSE;FALSE;1;"Pogba";86;"37.8"
122;7;FALSE;FALSE;1;"Hazard";111;"35.3"
393;8;FALSE;FALSE;1;"Richarlison";69;"27.0"
417;9;FALSE;FALSE;1;"Arnautovic";69;"7.6"
280;10;TRUE;FALSE;2;"Agüero";113;"25.1"
305;11;FALSE;FALSE;1;"Rashford";76;"36.0"
137;12;FALSE;FALSE;1;"Guaita";42;"1.4"
146;13;FALSE;FALSE;1;"Puncheon";42;"1.1"
145;14;FALSE;FALSE;1;"Wan-Bissaka";45;"33.1"
335;15;FALSE;FALSE;1;"Bednarek";39;"5.4"
454;1;FALSE;FALSE;1;"Patrício";45;"8.6"
484;2;FALSE;FALSE;1;"Digne";53;"16.7"
245;3;FALSE;FALSE;1;"Alexander-Arnold";52;"16.4"
425;4;FALSE;FALSE;1;"Doherty";52;"23.1"
465;5;FALSE;FALSE;1;"Felipe Anderson";73;"17.7"
302;6;FALSE;TRUE;1;"Pogba";86;"37.8"
253;7;TRUE;FALSE;2;"Salah";135;"48.4"
393;8;FALSE;FALSE;1;"Richarlison";69;"27.0"
40;9;FALSE;FALSE;1;"Fraser";61;"22.5"
437;10;FALSE;FALSE;1;"Jiménez";64;"23.9"
305;11;FALSE;FALSE;1;"Rashford";76;"36.0"
400;12;FALSE;FALSE;1;"Fabianski";48;"17.8"
335;13;FALSE;FALSE;1;"Bednarek";39;"5.4"
145;14;FALSE;FALSE;1;"Wan-Bissaka";45;"33.1"
372;15;FALSE;FALSE;1;"Kane";125;"16.8"
88;1;FALSE;FALSE;1;"Etheridge";46;"10.9"
484;2;FALSE;FALSE;1;"Digne";53;"16.7"
425;3;FALSE;FALSE;1;"Doherty";52;"23.1"
247;4;FALSE;TRUE;1;"Robertson";67;"36.3"
393;5;FALSE;FALSE;1;"Richarlison";69;"27.0"
122;6;FALSE;FALSE;1;"Hazard";111;"35.3"
40;7;FALSE;FALSE;1;"Fraser";61;"22.5"
302;8;FALSE;FALSE;1;"Pogba";86;"37.8"
253;9;TRUE;FALSE;2;"Salah";135;"48.4"
437;10;FALSE;FALSE;1;"Jiménez";64;"23.9"
305;11;FALSE;FALSE;1;"Rashford";76;"36.0"
400;12;FALSE;FALSE;1;"Fabianski";48;"17.8"
378;13;FALSE;FALSE;1;"Holebas";48;"12.9"
85;14;FALSE;FALSE;1;"Barnes";57;"1.5"
464;15;FALSE;FALSE;1;"Balbuena";43;"0.5"
88;1;FALSE;FALSE;1;"Etheridge";46;"10.9"
484;2;FALSE;FALSE;1;"Digne";53;"16.7"
425;3;FALSE;FALSE;1;"Doherty";52;"23.1"
247;4;FALSE;FALSE;1;"Robertson";67;"36.3"
363;5;FALSE;FALSE;1;"Lamela";61;"0.7"
253;6;TRUE;FALSE;2;"Salah";135;"48.4"
122;7;FALSE;FALSE;1;"Hazard";111;"35.3"
270;8;FALSE;FALSE;1;"Sterling";113;"10.9"
302;9;FALSE;TRUE;1;"Pogba";86;"37.8"
437;10;FALSE;FALSE;1;"Jiménez";64;"23.9"
305;11;FALSE;FALSE;1;"Rashford";76;"36.0"
179;12;FALSE;FALSE;1;"Button";40;"3.5"
524;13;FALSE;FALSE;1;"Success";46;"3.5"
427;14;FALSE;FALSE;1;"Bennett";41;"10.3"
335;15;FALSE;FALSE;1;"Bednarek";39;"5.4"
400;1;FALSE;FALSE;1;"Fabianski";48;"17.8"
247;2;FALSE;FALSE;1;"Robertson";67;"36.3"
484;3;FALSE;FALSE;1;"Digne";53;"16.7"
425;4;FALSE;FALSE;1;"Doherty";52;"23.1"
275;5;FALSE;FALSE;1;"Sané";96;"15.4"
253;6;TRUE;FALSE;2;"Salah";135;"48.4"
393;7;FALSE;FALSE;1;"Richarlison";69;"27.0"
122;8;FALSE;FALSE;1;"Hazard";111;"35.3"
302;9;FALSE;TRUE;1;"Pogba";86;"37.8"
437;10;FALSE;FALSE;1;"Jiménez";64;"23.9"
305;11;FALSE;FALSE;1;"Rashford";76;"36.0"
179;12;FALSE;FALSE;1;"Button";40;"3.5"
480;13;FALSE;FALSE;1;"Mitrovic";66;"14.7"
335;14;FALSE;FALSE;1;"Bednarek";39;"5.4"
145;15;FALSE;FALSE;1;"Wan-Bissaka";45;"33.1"
88;1;FALSE;FALSE;1;"Etheridge";46;"10.9"
247;2;FALSE;FALSE;1;"Robertson";67;"36.3"
116;3;FALSE;FALSE;1;"David Luiz";59;"13.4"
484;4;FALSE;FALSE;1;"Digne";53;"16.7"
270;5;FALSE;TRUE;1;"Sterling";113;"10.9"
253;6;TRUE;FALSE;2;"Salah";135;"48.4"
364;7;FALSE;FALSE;1;"Eriksen";93;"7.3"
122;8;FALSE;FALSE;1;"Hazard";111;"35.3"
302;9;FALSE;FALSE;1;"Pogba";86;"37.8"
437;10;FALSE;FALSE;1;"Jiménez";64;"23.9"
305;11;FALSE;FALSE;1;"Rashford";76;"36.0"
25;12;FALSE;FALSE;1;"Boruc";40;"5.5"
425;13;FALSE;FALSE;1;"Doherty";52;"23.1"
335;14;FALSE;FALSE;1;"Bednarek";39;"5.4"
524;15;FALSE;FALSE;1;"Success";46;"3.5"
468;1;FALSE;FALSE;1;"Alisson";60;"25.4"
425;2;FALSE;FALSE;1;"Doherty";52;"23.1"
247;3;FALSE;FALSE;1;"Robertson";67;"36.3"
484;4;FALSE;FALSE;1;"Digne";53;"16.7"
268;5;FALSE;FALSE;1;"Laporte";59;"11.0"
302;6;FALSE;TRUE;1;"Pogba";86;"37.8"
253;7;TRUE;FALSE;2;"Salah";135;"48.4"
122;8;FALSE;FALSE;1;"Hazard";111;"35.3"
393;9;FALSE;FALSE;1;"Richarlison";69;"27.0"
437;10;FALSE;FALSE;1;"Jiménez";64;"23.9"
305;11;FALSE;FALSE;1;"Rashford";76;"36.0"
553;12;FALSE;FALSE;1;"Woodman";40;"0.2"
43;13;FALSE;FALSE;1;"Wilson";65;"22.4"
145;14;FALSE;FALSE;1;"Wan-Bissaka";45;"33.1"
339;15;FALSE;FALSE;1;"Oriol Romeu";43;"1.6"
498;1;FALSE;FALSE;1;"Kepa";56;"5.9"
484;2;FALSE;FALSE;1;"Digne";53;"16.7"
247;3;FALSE;FALSE;1;"Robertson";67;"36.3"
425;4;FALSE;FALSE;1;"Doherty";52;"23.1"
393;5;FALSE;FALSE;1;"Richarlison";69;"27.0"
253;6;TRUE;FALSE;2;"Salah";135;"48.4"
302;7;FALSE;FALSE;1;"Pogba";86;"37.8"
275;8;FALSE;FALSE;1;"Sané";96;"15.4"
437;9;FALSE;FALSE;1;"Jiménez";64;"23.9"
305;10;FALSE;TRUE;1;"Rashford";76;"36.0"
280;11;FALSE;FALSE;1;"Agüero";113;"25.1"
190;12;FALSE;FALSE;1;"Hamer";40;"7.0"
116;13;FALSE;FALSE;1;"David Luiz";59;"13.4"
504;14;FALSE;FALSE;1;"Camarasa";46;"2.7"
145;15;FALSE;FALSE;1;"Wan-Bissaka";45;"33.1"
468;1;FALSE;FALSE;1;"Alisson";60;"25.4"
484;2;FALSE;FALSE;1;"Digne";53;"16.7"
242;3;FALSE;FALSE;1;"Gomez";49;"1.2"
268;4;FALSE;FALSE;1;"Laporte";59;"11.0"
115;5;FALSE;FALSE;1;"Alonso";66;"35.7"
122;6;FALSE;TRUE;1;"Hazard";111;"35.3"
253;7;TRUE;FALSE;2;"Salah";135;"48.4"
393;8;FALSE;FALSE;1;"Richarlison";69;"27.0"
489;9;FALSE;FALSE;1;"Snodgrass";52;"1.7"
305;10;FALSE;FALSE;1;"Rashford";76;"36.0"
151;11;FALSE;FALSE;1;"Zaha";67;"10.9"
400;12;FALSE;FALSE;1;"Fabianski";48;"17.8"
367;13;FALSE;FALSE;1;"Son";86;"5.2"
258;14;FALSE;FALSE;1;"Ings";55;"5.3"
145;15;FALSE;FALSE;1;"Wan-Bissaka";45;"33.1"
260;1;FALSE;FALSE;1;"Ederson";56;"20.8"
247;2;FALSE;FALSE;1;"Robertson";67;"36.3"
484;3;FALSE;FALSE;1;"Digne";53;"16.7"
357;4;FALSE;FALSE;1;"Trippier";61;"18.4"
40;5;FALSE;FALSE;1;"Fraser";61;"22.5"
122;6;FALSE;FALSE;1;"Hazard";111;"35.3"
253;7;TRUE;FALSE;2;"Salah";135;"48.4"
275;8;FALSE;TRUE;1;"Sané";96;"15.4"
393;9;FALSE;FALSE;1;"Richarlison";69;"27.0"
437;10;FALSE;FALSE;1;"Jiménez";64;"23.9"
305;11;FALSE;FALSE;1;"Rashford";76;"36.0"
190;12;FALSE;FALSE;1;"Hamer";40;"7.0"
425;13;FALSE;FALSE;1;"Doherty";52;"23.1"
480;14;FALSE;FALSE;1;"Mitrovic";66;"14.7"
145;15;FALSE;FALSE;1;"Wan-Bissaka";45;"33.1"
400;1;FALSE;FALSE;1;"Fabianski";48;"17.8"
247;2;FALSE;FALSE;1;"Robertson";67;"36.3"
221;3;FALSE;FALSE;1;"Pereira";53;"12.7"
484;4;FALSE;FALSE;1;"Digne";53;"16.7"
302;5;FALSE;TRUE;1;"Pogba";86;"37.8"
253;6;TRUE;FALSE;2;"Salah";135;"48.4"
275;7;FALSE;FALSE;1;"Sané";96;"15.4"
393;8;FALSE;FALSE;1;"Richarlison";69;"27.0"
122;9;FALSE;FALSE;1;"Hazard";111;"35.3"
305;10;FALSE;FALSE;1;"Rashford";76;"36.0"
437;11;FALSE;FALSE;1;"Jiménez";64;"23.9"
190;12;FALSE;FALSE;1;"Hamer";40;"7.0"
480;13;FALSE;FALSE;1;"Mitrovic";66;"14.7"
427;14;FALSE;FALSE;1;"Bennett";41;"10.3"
145;15;FALSE;FALSE;1;"Wan-Bissaka";45;"33.1"
351;1;FALSE;FALSE;1;"Lloris";54;"5.1"
378;2;FALSE;FALSE;1;"Holebas";48;"12.9"
484;3;FALSE;FALSE;1;"Digne";53;"16.7"
247;4;FALSE;FALSE;1;"Robertson";67;"36.3"
302;5;TRUE;FALSE;2;"Pogba";86;"37.8"
465;6;FALSE;FALSE;1;"Felipe Anderson";73;"17.7"
253;7;FALSE;TRUE;1;"Salah";135;"48.4"
122;8;FALSE;FALSE;1;"Hazard";111;"35.3"
393;9;FALSE;FALSE;1;"Richarlison";69;"27.0"
43;10;FALSE;FALSE;1;"Wilson";65;"22.4"
437;11;FALSE;FALSE;1;"Jiménez";64;"23.9"
190;12;FALSE;FALSE;1;"Hamer";40;"7.0"
8;13;FALSE;FALSE;1;"Kolasinac";49;"3.7"
335;14;FALSE;FALSE;1;"Bednarek";39;"5.4"
189;15;FALSE;FALSE;1;"Kamara";45;"11.3"
400;1;FALSE;FALSE;1;"Fabianski";48;"17.8"
425;2;FALSE;FALSE;1;"Doherty";52;"23.1"
484;3;FALSE;FALSE;1;"Digne";53;"16.7"
247;4;FALSE;FALSE;1;"Robertson";67;"36.3"
394;5;FALSE;FALSE;1;"Deulofeu";55;"2.4"
393;6;FALSE;FALSE;1;"Richarlison";69;"27.0"
302;7;FALSE;TRUE;1;"Pogba";86;"37.8"
253;8;TRUE;FALSE;2;"Salah";135;"48.4"
305;9;FALSE;FALSE;1;"Rashford";76;"36.0"
23;10;FALSE;FALSE;1;"Aubameyang";113;"32.5"
257;11;FALSE;FALSE;1;"Firmino";93;"21.9"
190;12;FALSE;FALSE;1;"Hamer";40;"7.0"
116;13;FALSE;FALSE;1;"David Luiz";59;"13.4"
340;14;FALSE;FALSE;1;"Højbjerg";44;"2.6"
145;15;FALSE;FALSE;1;"Wan-Bissaka";45;"33.1"
454;1;FALSE;FALSE;1;"Patrício";45;"8.6"
247;2;FALSE;FALSE;1;"Robertson";67;"36.3"
484;3;FALSE;FALSE;1;"Digne";53;"16.7"
425;4;FALSE;FALSE;1;"Doherty";52;"23.1"
302;5;FALSE;TRUE;1;"Pogba";86;"37.8"
393;6;FALSE;FALSE;1;"Richarlison";69;"27.0"
253;7;TRUE;FALSE;2;"Salah";135;"48.4"
270;8;FALSE;FALSE;1;"Sterling";113;"10.9"
122;9;FALSE;FALSE;1;"Hazard";111;"35.3"
437;10;FALSE;FALSE;1;"Jiménez";64;"23.9"
305;11;FALSE;FALSE;1;"Rashford";76;"36.0"
137;12;FALSE;FALSE;1;"Guaita";42;"1.4"
258;13;FALSE;FALSE;1;"Ings";55;"5.3"
91;14;FALSE;FALSE;1;"Bamba";46;"2.8"
145;15;FALSE;FALSE;1;"Wan-Bissaka";45;"33.1"
88;1;FALSE;FALSE;1;"Etheridge";46;"10.9"
484;2;FALSE;FALSE;1;"Digne";53;"16.7"
286;3;FALSE;FALSE;1;"Shaw";50;"8.1"
425;4;FALSE;FALSE;1;"Doherty";52;"23.1"
253;5;TRUE;FALSE;2;"Salah";135;"48.4"
394;6;FALSE;FALSE;1;"Deulofeu";55;"2.4"
302;7;FALSE;TRUE;1;"Pogba";86;"37.8"
125;8;FALSE;FALSE;1;"Pedro";63;"3.6"
43;9;FALSE;FALSE;1;"Wilson";65;"22.4"
437;10;FALSE;FALSE;1;"Jiménez";64;"23.9"
23;11;FALSE;FALSE;1;"Aubameyang";113;"32.5"
2;12;FALSE;FALSE;1;"Leno";48;"2.0"
116;13;FALSE;FALSE;1;"David Luiz";59;"13.4"
145;14;FALSE;FALSE;1;"Wan-Bissaka";45;"33.1"
367;15;FALSE;FALSE;1;"Son";86;"5.2"
400;1;FALSE;FALSE;1;"Fabianski";48;"17.8"
113;2;FALSE;FALSE;1;"Azpilicueta";63;"9.0"
357;3;FALSE;FALSE;1;"Trippier";61;"18.4"
268;4;FALSE;FALSE;1;"Laporte";59;"11.0"
302;5;FALSE;FALSE;1;"Pogba";86;"37.8"
253;6;TRUE;FALSE;2;"Salah";135;"48.4"
465;7;FALSE;FALSE;1;"Felipe Anderson";73;"17.7"
393;8;FALSE;FALSE;1;"Richarlison";69;"27.0"
305;9;FALSE;FALSE;1;"Rashford";76;"36.0"
480;10;FALSE;FALSE;1;"Mitrovic";66;"14.7"
280;11;FALSE;TRUE;1;"Agüero";113;"25.1"
155;12;FALSE;FALSE;1;"Stekelenburg";40;"3.3"
40;13;FALSE;FALSE;1;"Fraser";61;"22.5"
425;14;FALSE;FALSE;1;"Doherty";52;"23.1"
145;15;FALSE;FALSE;1;"Wan-Bissaka";45;"33.1"
400;1;FALSE;FALSE;1;"Fabianski";48;"17.8"
286;2;FALSE;FALSE;1;"Shaw";50;"8.1"
247;3;FALSE;FALSE;1;"Robertson";67;"36.3"
484;4;FALSE;FALSE;1;"Digne";53;"16.7"
253;5;TRUE;FALSE;2;"Salah";135;"48.4"
122;6;FALSE;FALSE;1;"Hazard";111;"35.3"
270;7;FALSE;TRUE;1;"Sterling";113;"10.9"
393;8;FALSE;FALSE;1;"Richarlison";69;"27.0"
364;9;FALSE;FALSE;1;"Eriksen";93;"7.3"
437;10;FALSE;FALSE;1;"Jiménez";64;"23.9"
305;11;FALSE;FALSE;1;"Rashford";76;"36.0"
137;12;FALSE;FALSE;1;"Guaita";42;"1.4"
427;13;FALSE;FALSE;1;"Bennett";41;"10.3"
145;14;FALSE;FALSE;1;"Wan-Bissaka";45;"33.1"
189;15;FALSE;FALSE;1;"Kamara";45;"11.3"
351;1;FALSE;FALSE;1;"Lloris";54;"5.1"
247;2;FALSE;FALSE;1;"Robertson";67;"36.3"
484;3;FALSE;FALSE;1;"Digne";53;"16.7"
286;4;FALSE;FALSE;1;"Shaw";50;"8.1"
425;5;FALSE;FALSE;1;"Doherty";52;"23.1"
275;6;FALSE;TRUE;1;"Sané";96;"15.4"
270;7;FALSE;FALSE;1;"Sterling";113;"10.9"
253;8;TRUE;FALSE;2;"Salah";135;"48.4"
302;9;FALSE;FALSE;1;"Pogba";86;"37.8"
40;10;FALSE;FALSE;1;"Fraser";61;"22.5"
305;11;FALSE;FALSE;1;"Rashford";76;"36.0"
454;12;FALSE;FALSE;1;"Patrício";45;"8.6"
437;13;FALSE;FALSE;1;"Jiménez";64;"23.9"
406;14;FALSE;FALSE;1;"Rice";44;"1.7"
189;15;FALSE;FALSE;1;"Kamara";45;"11.3"
260;1;FALSE;FALSE;1;"Ederson";56;"20.8"
425;2;FALSE;FALSE;1;"Doherty";52;"23.1"
116;3;FALSE;FALSE;1;"David Luiz";59;"13.4"
247;4;FALSE;FALSE;1;"Robertson";67;"36.3"
484;5;FALSE;FALSE;1;"Digne";53;"16.7"
393;6;FALSE;FALSE;1;"Richarlison";69;"27.0"
302;7;FALSE;TRUE;1;"Pogba";86;"37.8"
253;8;TRUE;FALSE;2;"Salah";135;"48.4"
122;9;FALSE;FALSE;1;"Hazard";111;"35.3"
280;10;FALSE;FALSE;1;"Agüero";113;"25.1"
305;11;FALSE;FALSE;1;"Rashford";76;"36.0"
190;12;FALSE;FALSE;1;"Hamer";40;"7.0"
524;13;FALSE;FALSE;1;"Success";46;"3.5"
145;14;FALSE;FALSE;1;"Wan-Bissaka";45;"33.1"
202;15;FALSE;FALSE;1;"Billing";45;"1.8"
400;1;FALSE;FALSE;1;"Fabianski";48;"17.8"
245;2;FALSE;FALSE;1;"Alexander-Arnold";52;"16.4"
378;3;FALSE;FALSE;1;"Holebas";48;"12.9"
484;4;FALSE;FALSE;1;"Digne";53;"16.7"
465;5;FALSE;FALSE;1;"Felipe Anderson";73;"17.7"
393;6;FALSE;FALSE;1;"Richarlison";69;"27.0"
253;7;TRUE;FALSE;2;"Salah";135;"48.4"
275;8;FALSE;TRUE;1;"Sané";96;"15.4"
302;9;FALSE;FALSE;1;"Pogba";86;"37.8"
437;10;FALSE;FALSE;1;"Jiménez";64;"23.9"
305;11;FALSE;FALSE;1;"Rashford";76;"36.0"
179;12;FALSE;FALSE;1;"Button";40;"3.5"
115;13;FALSE;FALSE;1;"Alonso";66;"35.7"
425;14;FALSE;FALSE;1;"Doherty";52;"23.1"
189;15;FALSE;FALSE;1;"Kamara";45;"11.3"
400;1;FALSE;FALSE;1;"Fabianski";48;"17.8"
247;2;FALSE;FALSE;1;"Robertson";67;"36.3"
484;3;FALSE;FALSE;1;"Digne";53;"16.7"
221;4;FALSE;FALSE;1;"Pereira";53;"12.7"
465;5;FALSE;FALSE;1;"Felipe Anderson";73;"17.7"
122;6;FALSE;FALSE;1;"Hazard";111;"35.3"
253;7;TRUE;FALSE;2;"Salah";135;"48.4"
302;8;FALSE;FALSE;1;"Pogba";86;"37.8"
493;9;FALSE;FALSE;1;"Rondón";57;"3.3"
43;10;FALSE;FALSE;1;"Wilson";65;"22.4"
305;11;FALSE;TRUE;1;"Rashford";76;"36.0"
24;12;FALSE;FALSE;1;"Begovic";44;"3.6"
245;13;FALSE;FALSE;1;"Alexander-Arnold";52;"16.4"
145;14;FALSE;FALSE;1;"Wan-Bissaka";45;"33.1"
448;15;FALSE;FALSE;1;"Gibbs-White";43;"0.7"
260;1;FALSE;FALSE;1;"Ederson";56;"20.8"
247;2;FALSE;FALSE;1;"Robertson";67;"36.3"
245;3;FALSE;FALSE;1;"Alexander-Arnold";52;"16.4"
383;4;FALSE;FALSE;1;"Kiko Femenía";42;"1.6"
393;5;FALSE;FALSE;1;"Richarlison";69;"27.0"
302;6;FALSE;FALSE;1;"Pogba";86;"37.8"
275;7;FALSE;TRUE;1;"Sané";96;"15.4"
253;8;TRUE;FALSE;2;"Salah";135;"48.4"
122;9;FALSE;FALSE;1;"Hazard";111;"35.3"
305;10;FALSE;FALSE;1;"Rashford";76;"36.0"
396;11;FALSE;FALSE;1;"Deeney";59;"6.2"
191;12;FALSE;FALSE;1;"Lössl";44;"1.9"
437;13;FALSE;FALSE;1;"Jiménez";64;"23.9"
427;14;FALSE;FALSE;1;"Bennett";41;"10.3"
145;15;FALSE;FALSE;1;"Wan-Bissaka";45;"33.1"
