"id";"web_name";"now_cost";"selected_by";"started_by";"benched_by";"captained_by";"vice_captained_by";"triple_captained_by"
130;"Sako";50;5;NA;5;NA;NA;NA
167;"Hefele";44;5;NA;5;NA;NA;NA
238;"Origi";74;5;3;2;NA;NA;NA
268;"Darmian";53;5;1;4;NA;NA;NA
314;"McQueen";45;5;1;4;NA;NA;NA
366;"Dyer";45;5;NA;5;NA;NA;NA
391;"Winks";49;5;1;4;NA;NA;NA
395;"Janssen";74;5;2;3;NA;NA;NA
27;"Pérez";74;4;3;1;NA;NA;NA
40;"Pugh";50;4;NA;4;NA;NA;NA
69;"Murphy";50;4;2;2;NA;NA;NA
95;"Eduardo";49;4;NA;4;NA;NA;NA
333;"Muniesa";45;4;NA;4;NA;NA;NA
369;"Narsingh";49;4;NA;4;NA;NA;NA
485;"Bartley";45;4;1;3;NA;NA;NA
495;"Merino";50;4;NA;4;NA;NA;NA
505;"Ladapo";45;4;NA;4;NA;NA;NA
44;"Gradel";50;3;NA;3;NA;NA;NA
149;"Barkley";75;3;2;1;NA;NA;NA
184;"Williams";50;3;NA;3;NA;NA;NA
190;"Hamer";45;3;NA;3;NA;NA;NA
194;"Huth";50;3;NA;3;NA;NA;NA
195;"Benalouane";45;3;1;2;NA;NA;NA
208;"Iborra";59;3;1;2;NA;NA;NA
229;"Sheyi Ojo";50;3;2;1;NA;NA;NA
312;"Pied";44;3;NA;3;NA;NA;NA
344;"Bojan";55;3;NA;3;NA;NA;NA
457;"Carroll";59;3;1;2;NA;NA;NA
469;"Pope";45;3;NA;3;NA;NA;NA
519;"Clucas";50;3;1;2;NA;NA;NA
520;"Sánchez";60;3;2;1;NA;NA;NA
524;"Burke";55;3;2;1;NA;1;NA
139;"Coleman";65;2;NA;2;NA;NA;NA
147;"Bolasie";65;2;NA;2;NA;NA;NA
150;"McCarthy";50;2;NA;2;NA;NA;NA
176;"Lolley";45;2;NA;2;NA;NA;NA
185;"Wells";50;2;NA;2;NA;NA;NA
221;"Sakho";49;2;NA;2;NA;NA;NA
243;"Kolarov";55;2;1;1;NA;NA;NA
261;"Romero";49;2;NA;2;NA;NA;NA
336;"Tymon";45;2;NA;2;NA;NA;NA
363;"Ki Sung-yueng";50;2;NA;2;NA;NA;NA
399;"Cathcart";45;2;NA;2;NA;NA;NA
431;"Leko";45;2;NA;2;NA;NA;NA
451;"Kouyaté";50;2;1;1;NA;NA;NA
471;"Musonda";49;2;1;1;NA;NA;NA
492;"Foden";50;2;NA;2;NA;NA;NA
507;"Harper";45;2;NA;2;NA;NA;NA
518;"Wood";65;2;1;1;NA;NA;NA
6;"Gabriel";50;1;1;NA;NA;NA;NA
48;"Callum Wilson";60;1;NA;1;NA;NA;NA
67;"Skalak";49;1;NA;1;NA;NA;NA
73;"Baldock";50;1;NA;1;NA;NA;NA
75;"Robinson";45;1;NA;1;NA;NA;NA
79;"Tarkowski";45;1;NA;1;NA;NA;NA
83;"Marney";45;1;NA;1;NA;NA;NA
84;"Gudmundsson";50;1;NA;1;NA;NA;NA
110;"Kenedy";49;1;NA;1;NA;NA;NA
133;"Wickham";55;1;NA;1;NA;NA;NA
174;"Hogg";45;1;NA;1;NA;NA;NA
179;"Bunn";45;1;NA;1;NA;NA;NA
183;"Palmer";55;1;NA;1;NA;NA;NA
197;"Wagué";45;1;NA;1;NA;NA;NA
224;"Lucas";45;1;1;NA;NA;NA;NA
237;"Ings";54;1;NA;1;NA;NA;NA
265;"Shaw";49;1;NA;1;NA;NA;NA
266;"Rojo";55;1;NA;1;NA;NA;NA
279;"Lingard";59;1;NA;1;NA;NA;NA
