"id";"web_name";"selected_by_percent";"now_cost";"selected_by";"started_by";"benched_by";"captained_by";"vice_captained_by";"triple_captained_by"
145;"Wan-Bissaka";"29.5";43;4038;2274;1764;NA;4;NA
425;"Doherty";"22.1";51;3602;3545;57;NA;3;NA
393;"Richarlison";"32.0";71;3491;2061;1430;1;20;NA
247;"Robertson";"32.9";65;3414;3315;99;NA;3;NA
372;"Kane";"31.0";126;3296;3296;NA;3162;99;5
115;"Alonso";"46.0";70;3208;3198;10;4;20;NA
465;"Felipe Anderson";"18.9";73;2917;2916;1;19;188;NA
437;"Jiménez";"19.5";62;2845;2823;22;2;36;NA
253;"Salah";"36.3";130;2740;2740;NA;165;1062;NA
122;"Hazard";"35.2";109;2633;2633;NA;543;970;3
43;"Wilson";"35.8";69;2619;2265;354;1;5;NA
270;"Sterling";"21.7";116;2567;2567;NA;498;1141;1
400;"Fabianski";"16.1";46;2559;2212;347;NA;7;NA
40;"Fraser";"28.9";63;1946;1755;191;NA;6;NA
23;"Aubameyang";"36.8";115;1804;1804;NA;472;820;NA
275;"Sané";"15.2";96;1735;1735;NA;37;198;NA
190;"Hamer";"8.5";40;1709;NA;1709;NA;NA;NA
8;"Kolasinac";"4.4";51;1403;16;1387;1;2;NA
484;"Digne";"4.4";49;1337;167;1170;NA;NA;NA
245;"Alexander-Arnold";"23.8";53;1228;3;1225;NA;NA;NA
454;"Patrício";"9.0";46;1119;621;498;NA;NA;NA
427;"Bennett";"10.7";42;1037;421;616;NA;NA;NA
260;"Ederson";"25.8";58;926;891;35;NA;1;NA
268;"Laporte";"16.3";61;926;912;14;NA;1;NA
480;"Mitrovic";"21.1";68;855;846;9;2;23;NA
419;"Chicharito";"7.4";64;823;822;1;6;47;NA
367;"Son";"7.9";85;777;777;NA;37;141;NA
340;"Højbjerg";"3.9";44;746;20;726;NA;NA;NA
189;"Kamara";"9.5";44;612;158;454;NA;NA;NA
489;"Snodgrass";"1.9";54;566;558;8;NA;7;NA
22;"Lacazette";"10.2";96;562;559;3;5;63;NA
