"id";"web_name";"selected_by_percent";"now_cost";"selected_by";"started_by";"benched_by";"captained_by";"vice_captained_by";"triple_captained_by"
285;"Lukaku";"58.0";118;37113;37111;2;28795;5518;2295
260;"de Gea";"37.8";56;27270;27201;69;237;4843;7
387;"Eriksen";"26.3";97;22546;22487;59;627;3535;8
381;"Davies";"24.4";59;22400;22310;90;32;105;NA
286;"Elliot";"25.6";41;21912;966;20946;NA;50;NA
281;"Mkhitaryan";"28.2";84;21550;21540;10;778;3571;11
234;"Salah";"32.2";92;20752;20739;13;441;3162;5
394;"Kane";"42.3";128;19958;19956;2;11234;6222;387
248;"David Silva";"27.0";85;19871;19720;151;170;1377;1
472;"Morata";"12.4";102;16185;16160;25;1104;4307;7
388;"Alli";"24.5";94;11466;11461;5;206;1729;3
267;"Valencia";"13.0";66;10115;9761;354;87;254;2
264;"Jones";"10.5";52;9457;8167;1290;4;31;NA
252;"De Bruyne";"18.0";100;9352;9331;21;313;1503;5
494;"Mbemba";"13.6";40;9309;219;9090;NA;5;NA
259;"Jesus";"21.9";107;8904;8868;36;1160;2173;6
421;"Foster";"15.0";45;8794;5130;3664;NA;219;NA
367;"Carroll";"6.4";45;8746;2753;5993;NA;10;NA
245;"Otamendi";"15.6";57;8720;7478;1242;2;25;NA
111;"Kanté";"16.2";51;8602;6919;1683;11;67;NA
468;"Hegazi";"24.8";48;8480;7406;1074;2;24;NA
487;"Chicharito";"17.9";70;8420;8197;223;79;568;NA
235;"Firmino";"18.7";85;8384;8336;48;167;1223;1
10;"Monreal";"8.1";55;8031;7982;49;9;40;NA
13;"Kolasinac";"11.6";60;8008;7991;17;27;129;NA
353;"Rangel";"12.5";39;7795;66;7729;1;2;NA
374;"Abraham";"8.8";57;7303;6534;769;9;89;NA
70;"Groß";"14.3";57;7180;4570;2610;2;38;NA
310;"Cédric";"9.2";50;7055;5750;1305;NA;11;NA
97;"Azpilicueta";"15.0";66;6845;6565;280;9;63;NA
28;"Lacazette";"13.9";104;6710;6706;4;1283;2798;22
379;"Walker";"14.4";66;6699;6343;356;8;42;NA
77;"Mee";"7.1";45;6484;3995;2489;NA;10;NA
271;"Bailly";"14.7";62;6349;890;5459;34;109;1
108;"Loftus-Cheek";"5.8";45;6141;46;6095;NA;NA;NA
226;"Coutinho";"10.1";90;5933;5924;9;402;866;9
382;"Trippier";"5.8";55;5792;5723;69;8;20;NA
7;"Bellerín";"10.7";59;5729;5688;41;18;76;NA
377;"Alderweireld";"12.4";60;5648;5617;31;6;30;NA
78;"Ward";"11.2";46;5549;4332;1217;1;10;NA
107;"Matic";"15.8";50;5523;5166;357;5;63;NA
414;"Doucouré";"13.9";53;5397;4403;994;3;30;NA
479;"Hart";"8.8";44;5240;1777;3463;NA;102;NA
300;"Atsu";"4.3";51;5051;3499;1552;NA;14;NA
290;"Lascelles";"11.3";47;5019;2337;2682;NA;6;NA
242;"Stones";"8.7";56;4873;4165;708;1;13;NA
352;"Naughton";"5.8";46;4717;2926;1791;NA;3;NA
23;"Xhaka";"12.2";55;4671;4351;320;5;53;NA
34;"Daniels";"10.0";49;4642;3841;801;1;7;NA
307;"Bertrand";"10.7";55;4617;3922;695;NA;9;NA
306;"Forster";"9.0";50;4542;3662;880;NA;226;1
247;"Sterling";"11.1";81;4508;4397;111;47;187;NA
295;"Ritchie";"4.9";60;4333;3771;562;2;12;NA
57;"Hünemeier";"6.3";39;4294;17;4277;NA;1;NA
257;"Agüero";"7.8";115;4239;729;3510;1794;459;6
497;"Choupo-Moting";"6.2";56;4149;3812;337;3;40;NA
350;"Fabianski";"8.2";46;4086;2182;1904;NA;90;NA
100;"Alonso";"16.8";70;4044;3845;199;1;37;NA
501;"Richarlison";"9.2";62;3761;3561;200;NA;28;NA
161;"Rooney";"10.1";73;3378;3183;195;46;346;NA
209;"Vardy";"16.1";86;3351;3231;120;87;405;1
94;"Courtois";"13.4";55;3209;2281;928;NA;325;NA
227;"Can";"6.4";50;3205;245;2960;2;18;NA
375;"Lloris";"11.8";55;3179;2780;399;3;415;NA
193;"Simpson";"4.2";45;3078;2129;949;NA;8;NA
106;"Willian";"9.6";69;3068;2785;283;NA;40;NA
18;"Ramsey";"4.6";71;3065;3053;12;27;140;NA
172;"Mooy";"9.0";56;3000;1717;1283;1;8;NA
380;"Vertonghen";"7.6";60;2990;2953;37;3;26;NA
201;"King";"4.0";45;2989;926;2063;1;7;NA
424;"Dawson";"4.1";50;2973;2663;310;NA;5;NA
255;"Sané";"8.7";84;2957;2924;33;21;162;NA
284;"Rashford";"9.2";76;2880;2857;23;250;387;7
308;"Yoshida";"3.6";50;2803;2430;373;NA;3;NA
101;"David Luiz";"13.7";59;2574;88;2486;2;15;NA
