"X1";"X2";"X3";"X4";"X5";"X6";"X7";"X8";"X9";"X10"
"2575352";"1";"44";"14";"";"1032";"11";"1";"0";"Salah"
"60026";"2";"68";"11";"";"1054";"0";"1";"0";"Aubameyang"
"21823";"3";"66";"10";"";"1066";"0";"0";"0";"Aubameyang"
"3614956";"4";"45";"7";"";"1032";"6";"2";"0";"Hazard"
"8242";"5";"43";"6";"";"1062";"3";"0";"0";"Hazard"
"2199241";"6";"73";"9";"";"1050";"0";"1";"0";"Kane"
"875378";"7";"55";"5";"";"1044";"0";"0";"0";"Hazard"
"616809";"8";"47";"7";"";"1047";"15";"1";"0";"Hazard"
"197850";"9";"50";"15";"";"1051";"0";"0";"0";"Hazard"
"100121";"10";"41";"6";"";"1059";"0";"0";"0";"Hazard"
"291017";"11";"70";"9";"";"1035";"14";"1";"0";"Son"
"7392";"12";"77";"5";"";"1030";"0";"0";"0";"Son"
"138561";"13";"54";"19";"";"1069";"34";"0";"0";"Kane"
"304393";"14";"53";"7";"";"1073";"5";"0";"0";"Hazard"
"226251";"15";"53";"13";"";"1056";"1";"0";"0";"Hazard"
"2166271";"16";"51";"3";"";"1057";"1";"0";"0";"Hazard"
"64137";"17";"44";"12";"";"1049";"6";"1";"0";"Hazard"
"473996";"18";"51";"6";"";"1057";"11";"1";"0";"Hazard"
"1577223";"19";"59";"9";"";"1047";"2";"0";"0";"Aubameyang"
"110179";"20";"58";"13";"";"1056";"5";"0";"0";"Hazard"
"3184997";"20";"62";"11";"";"1054";"18";"1";"0";"Kane"
"2862023";"22";"57";"11";"";"1048";"3";"0";"0";"Hazard"
"2742939";"23";"55";"13";"";"1061";"35";"0";"0";"Hazard"
"902198";"24";"56";"24";"";"1042";"11";"0";"0";"Hazard"
"3852718";"25";"57";"20";"wildcard";"1023";"8";"0";"0";"Aubameyang"
"45996";"26";"65";"14";"";"1055";"0";"0";"0";"Kane"
"328368";"27";"78";"10";"";"1034";"0";"0";"0";"Kane"
"8450";"28";"46";"9";"";"1049";"0";"3";"4";"Hazard"
"724734";"28";"45";"9";"";"1047";"8";"0";"0";"Hazard"
"31625";"30";"56";"12";"";"1047";"1";"0";"0";"Hazard"
"53944";"31";"49";"15";"";"1056";"7";"1";"0";"Hazard"
"20727";"32";"61";"11";"";"1058";"1";"2";"0";"Aubameyang"
"22689";"33";"55";"5";"";"1042";"9";"1";"0";"Kane"
"2236582";"33";"82";"16";"";"1041";"41";"1";"0";"Kane"
"10248";"35";"51";"24";"";"1056";"21";"1";"0";"Hazard"
"66419";"36";"57";"9";"";"1047";"0";"0";"0";"Hazard"
"489481";"36";"64";"9";"";"1052";"1";"0";"0";"Kane"
"4143649";"36";"62";"19";"";"1056";"5";"0";"0";"Kane"
"43605";"39";"65";"18";"";"1052";"0";"1";"0";"Kane"
"995328";"40";"56";"11";"";"1051";"31";"1";"0";"Hazard"
"72362";"41";"65";"9";"";"1056";"9";"1";"0";"Aubameyang"
"1016821";"42";"68";"18";"";"1050";"2";"0";"0";"Kane"
"2645314";"43";"71";"16";"";"1048";"30";"1";"0";"Kane"
"72514";"44";"63";"10";"wildcard";"1042";"0";"0";"0";"Kane"
"172910";"45";"52";"2";"";"1043";"11";"1";"0";"Hazard"
"2558769";"45";"56";"11";"";"1038";"2";"1";"0";"Hazard"
"1835643";"47";"72";"7";"";"1037";"9";"0";"0";"Kane"
"3420";"48";"63";"7";"";"1038";"2";"2";"0";"Hazard"
"1561884";"49";"38";"17";"";"1061";"47";"1";"0";"Hazard"
"10638";"50";"74";"5";"";"1047";"22";"0";"0";"Hazard"
"981588";"51";"43";"21";"";"1033";"4";"1";"0";"Hazard"
"916319";"52";"61";"15";"";"1027";"7";"0";"0";"Aubameyang"
"302414";"53";"72";"9";"";"1047";"2";"1";"0";"Kane"
"267488";"54";"58";"11";"";"1038";"4";"0";"0";"Aubameyang"
"1813479";"54";"42";"3";"";"1046";"1";"2";"0";"Hazard"
"15540";"56";"68";"12";"";"1042";"2";"1";"0";"Hazard"
"4360547";"57";"68";"8";"";"1034";"0";"1";"0";"Aubameyang"
"1931795";"58";"70";"0";"bboost";"1053";"0";"2";"4";"Hazard"
"25171";"59";"46";"11";"";"1053";"0";"2";"0";"Hazard"
"525414";"59";"60";"13";"";"1044";"1";"1";"0";"Kane"
"2477540";"61";"63";"7";"";"1068";"22";"0";"0";"Hazard"
"1417";"62";"48";"11";"";"1064";"0";"0";"0";"Hazard"
"925417";"62";"57";"7";"";"1057";"1";"2";"4";"Kane"
"589232";"64";"61";"8";"";"1048";"15";"0";"0";"Hazard"
"8349";"65";"51";"14";"";"1056";"2";"0";"0";"Hazard"
"252314";"66";"42";"7";"";"1047";"5";"0";"0";"Hazard"
"1919";"67";"60";"3";"";"1045";"0";"0";"0";"Kane"
"313463";"68";"60";"8";"";"1055";"14";"1";"0";"Hazard"
"933770";"69";"44";"12";"";"1030";"0";"1";"0";"Pogba"
"3058891";"69";"65";"16";"";"1044";"28";"0";"0";"Hazard"
"3228750";"69";"67";"13";"";"1043";"1";"0";"0";"Kane"
"204095";"72";"90";"13";"";"1036";"31";"1";"0";"Kane"
"695462";"72";"61";"8";"";"1036";"13";"0";"0";"Hazard"
"569252";"74";"58";"9";"";"1044";"16";"1";"0";"Pogba"
"1154428";"74";"61";"2";"";"1039";"1";"2";"4";"Kane"
"113927";"76";"94";"15";"";"1044";"3";"0";"0";"Kane"
"774427";"77";"64";"13";"";"1054";"1";"1";"0";"Kane"
"166523";"78";"63";"15";"";"1039";"2";"1";"0";"Hazard"
"177877";"79";"42";"25";"";"1041";"0";"0";"0";"Hazard"
"146156";"80";"33";"8";"";"1049";"15";"1";"0";"Hazard"
"377836";"80";"51";"12";"";"1069";"27";"1";"0";"Aubameyang"
"3173287";"82";"65";"7";"";"1043";"2";"2";"0";"Son"
"181436";"83";"61";"11";"";"1050";"2";"0";"0";"Kane"
"1198623";"84";"46";"14";"wildcard";"1036";"1";"0";"0";"Hazard"
"817584";"85";"80";"8";"";"1039";"0";"1";"0";"Aubameyang"
"3436564";"85";"63";"5";"";"1037";"6";"0";"0";"Son"
"553141";"87";"69";"12";"";"1034";"37";"1";"0";"Aubameyang"
"1508738";"87";"51";"11";"";"1037";"2";"2";"0";"Kane"
"136065";"89";"90";"7";"";"1022";"0";"0";"0";"Kane"
"3048235";"90";"96";"10";"";"1043";"3";"1";"0";"Hazard"
"2500855";"91";"46";"0";"wildcard";"1037";"0";"0";"0";"Pogba"
"3685767";"91";"71";"19";"";"1052";"8";"1";"0";"Kane"
"164452";"93";"45";"24";"";"1058";"6";"2";"0";"Hazard"
"375618";"94";"50";"7";"";"1060";"5";"1";"0";"Pogba"
"3591";"95";"49";"16";"";"1047";"3";"2";"0";"Hazard"
"2464871";"96";"54";"12";"";"1057";"3";"0";"0";"Kane"
"1184051";"97";"70";"13";"";"1037";"3";"2";"0";"Kane"
"1642790";"98";"67";"15";"";"1035";"24";"1";"0";"Kane"
"2063181";"99";"35";"10";"";"1040";"2";"0";"0";"Hazard"
"465365";"100";"41";"8";"";"1048";"7";"1";"0";"Hazard"
"277060";"101";"68";"13";"";"1043";"15";"1";"0";"Hazard"
"665537";"102";"53";"7";"";"1038";"12";"1";"0";"Hazard"
"3427300";"102";"71";"22";"";"1043";"6";"1";"0";"Kane"
"360600";"104";"60";"13";"";"1057";"1";"0";"0";"Aubameyang"
"978471";"105";"63";"4";"";"1043";"0";"0";"0";"Aubameyang"
"36019";"106";"58";"13";"";"1058";"3";"1";"0";"Hazard"
"246972";"106";"55";"14";"";"1061";"5";"0";"0";"Hazard"
"362498";"106";"73";"13";"";"1044";"14";"0";"0";"Aubameyang"
"615360";"106";"60";"8";"";"1046";"17";"0";"0";"Hazard"
"271209";"110";"61";"12";"";"1047";"12";"1";"0";"Hazard"
"274238";"110";"58";"19";"";"1047";"0";"0";"0";"Kane"
"354091";"112";"52";"9";"";"1053";"24";"1";"0";"Salah"
"1236914";"112";"63";"6";"";"1043";"1";"2";"0";"Hazard"
"263918";"114";"67";"10";"";"1049";"9";"1";"0";"Aubameyang"
"392756";"115";"41";"7";"";"1041";"1";"0";"0";"Hazard"
"116869";"116";"71";"8";"";"1053";"7";"1";"0";"Aubameyang"
"1640018";"116";"73";"10";"";"1036";"3";"1";"0";"Kane"
"121035";"118";"57";"13";"";"1051";"14";"0";"0";"Hazard"
"179200";"118";"62";"10";"";"1028";"0";"1";"0";"Aubameyang"
"279017";"118";"47";"11";"";"1051";"3";"2";"0";"Hazard"
"1094439";"118";"55";"8";"";"1052";"1";"0";"0";"Hazard"
"1359421";"122";"50";"2";"";"1038";"3";"0";"0";"Aubameyang"
"286618";"123";"44";"18";"";"1045";"8";"2";"0";"Hazard"
"1030017";"123";"44";"8";"";"1056";"19";"1";"0";"Hazard"
"320348";"125";"83";"16";"";"1049";"1";"1";"0";"Son"
"1022038";"125";"64";"15";"";"1058";"3";"1";"0";"Kane"
"268316";"127";"62";"14";"";"1045";"0";"0";"0";"Hazard"
"65517";"128";"61";"7";"";"1048";"2";"1";"0";"Kane"
"2557010";"129";"55";"8";"";"1048";"17";"0";"0";"Hazard"
"2232315";"130";"86";"8";"";"1041";"20";"1";"0";"Hazard"
"259176";"131";"45";"17";"";"1049";"12";"2";"0";"Hazard"
"3726037";"132";"61";"12";"";"1039";"18";"1";"0";"Pogba"
"92420";"133";"84";"13";"";"1040";"1";"1";"0";"Kane"
"853610";"133";"72";"15";"";"1049";"0";"0";"0";"Kane"
"1201148";"133";"64";"11";"";"1060";"22";"0";"0";"Aubameyang"
"1704532";"136";"60";"7";"";"1055";"17";"0";"0";"Pogba"
"3458854";"136";"63";"11";"";"1056";"0";"0";"0";"Kane"
"166943";"138";"52";"12";"";"1056";"32";"0";"0";"Hazard"
"884296";"139";"69";"7";"";"1044";"0";"0";"0";"Kane"
"704007";"140";"60";"20";"";"1060";"27";"1";"0";"Hazard"
"66377";"141";"57";"2";"";"1041";"6";"1";"0";"Kane"
"66998";"141";"57";"2";"";"1041";"6";"1";"0";"Kane"
"530727";"143";"52";"12";"";"1050";"8";"2";"0";"Hazard"
"3350648";"144";"52";"7";"";"1044";"5";"2";"0";"Aubameyang"
"339382";"145";"59";"4";"";"1037";"1";"0";"0";"Hazard"
"671259";"145";"73";"2";"";"1052";"16";"1";"0";"Aubameyang"
"1592546";"145";"64";"18";"";"1046";"3";"1";"0";"Hazard"
"307007";"148";"58";"10";"";"1044";"9";"1";"0";"Kane"
"102718";"149";"62";"2";"";"1042";"0";"0";"0";"Aubameyang"
"991152";"149";"48";"3";"";"1062";"4";"1";"0";"Hazard"
"1515804";"149";"67";"11";"";"1040";"14";"2";"0";"Aubameyang"
"1825420";"149";"72";"14";"";"1036";"4";"1";"0";"Kane"
"78008";"153";"53";"8";"";"1044";"17";"0";"0";"Hazard"
"202950";"153";"57";"11";"";"1046";"7";"1";"0";"Hazard"
"270007";"153";"62";"4";"";"1056";"12";"0";"0";"Kane"
