"id";"web_name";"selected_by_percent";"now_cost";"selected_by";"started_by";"benched_by";"captained_by";"vice_captained_by";"triple_captained_by"
408;"Cleverley";"1.2";50;338;246;92;NA;NA;NA
91;"Vokes";"2.6";58;337;248;89;4;6;NA
447;"Zabaleta";"1.7";49;337;224;113;NA;NA;NA
98;"Cahill";"3.3";62;334;328;6;NA;3;NA
146;"Keane";"5.7";53;329;241;88;NA;1;NA
470;"Christensen";"0.6";54;316;306;10;1;1;NA
276;"Carrick";"1.2";43;313;NA;313;NA;NA;NA
61;"Goldson";"1.0";39;308;1;307;NA;NA;NA
62;"Knockaert";"0.9";57;304;273;31;NA;3;NA
512;"Jesé";"3.2";56;304;29;275;NA;1;NA
225;"Henderson";"1.8";55;303;231;72;1;1;NA
99;"Zouma";"2.4";55;293;257;36;NA;NA;NA
383;"Wimmer";"0.4";44;290;192;98;NA;NA;NA
46;"Lewis Cook";"1.0";44;285;120;165;NA;NA;NA
292;"Hanley";"0.6";40;283;NA;283;NA;NA;NA
220;"Klavan";"0.9";43;278;224;54;NA;1;NA
324;"Redmond";"2.4";61;270;199;71;NA;1;NA
132;"Milivojevic";"0.4";46;260;129;131;NA;NA;NA
115;"Hennessey";"0.9";43;258;1;257;NA;1;NA
437;"Rodriguez";"0.8";56;254;151;103;NA;3;NA
14;"Sánchez";"2.7";118;251;250;1;17;46;NA
58;"Bruno";"0.6";45;251;204;47;NA;NA;NA
74;"Heaton";"2.1";48;247;NA;247;NA;1;NA
231;"Grujic";"0.8";43;247;1;246;NA;NA;NA
409;"Capoue";"1.7";50;246;6;240;1;NA;NA
401;"Holebas";"0.7";50;240;220;20;NA;3;NA
48;"Callum Wilson";"4.4";60;228;220;8;11;12;NA
187;"Depoitre";"0.5";52;222;146;76;NA;5;NA
144;"Holgate";"0.7";42;221;16;205;NA;NA;NA
345;"Sobhi";"0.4";47;218;122;96;NA;2;NA
3;"Martinez";"0.7";40;215;NA;215;NA;NA;NA
277;"Young";"0.6";49;209;182;27;NA;2;NA
174;"Hogg";"0.4";44;204;7;197;NA;NA;NA
328;"Butland";"2.6";50;200;1;199;NA;3;NA
12;"Mustafi";"2.3";53;196;175;21;NA;2;NA
483;"Danilo";"2.0";51;191;22;169;NA;1;NA
535;"Sanches";"0.6";47;190;63;127;NA;NA;NA
464;"Martina";"0.3";43;188;5;183;NA;NA;NA
532;"Aurier";"0.4";59;187;47;140;NA;NA;NA
423;"Evans";"0.7";49;184;119;65;NA;NA;NA
103;"Rüdiger";"1.8";58;180;42;138;1;NA;NA
451;"Kouyaté";"0.5";50;180;116;64;NA;NA;NA
337;"Allen";"1.4";52;178;103;75;NA;NA;NA
196;"Chilwell";"0.3";43;174;6;168;NA;NA;NA
459;"Fletcher";"0.3";45;171;1;170;1;NA;NA
269;"Fosu-Mensah";"0.9";45;169;13;156;NA;NA;NA
520;"Sánchez";"0.7";60;169;148;21;NA;NA;NA
45;"Ibe";"0.5";49;165;111;54;NA;1;NA
16;"Özil";"1.9";93;163;162;1;2;13;NA
346;"Fletcher";"0.7";49;163;103;60;NA;2;NA
370;"Mesa";"0.5";43;162;2;160;NA;NA;NA
200;"Albrighton";"1.3";55;159;99;60;NA;NA;NA
21;"Iwobi";"0.6";51;157;84;73;NA;1;NA
66;"March";"0.4";50;152;63;89;NA;NA;NA
283;"McTominay";"0.5";43;152;1;151;NA;NA;NA
432;"Phillips";"0.7";56;147;88;59;NA;NA;NA
143;"Williams";"2.1";52;145;20;125;NA;2;NA
402;"Britos";"1.0";45;144;113;31;NA;1;NA
318;"Tadic";"1.9";63;141;110;31;NA;1;NA
422;"Nyom";"1.6";50;141;11;130;NA;NA;NA
385;"Dembélé";"1.6";49;139;89;50;NA;NA;NA
436;"Robson-Kanu";"0.4";49;139;2;137;NA;NA;NA
128;"Lee Chung-yong";"0.4";44;135;NA;135;NA;NA;NA
222;"Milner";"2.5";61;135;121;14;NA;2;NA
391;"Winks";"0.3";48;135;68;67;NA;1;NA
496;"Hayden";"0.3";45;128;55;73;NA;NA;NA
19;"Chamberlain";"1.6";57;124;109;15;NA;1;NA
498;"Walker-Peters";"0.9";41;123;5;118;NA;NA;NA
131;"Townsend";"0.9";57;120;100;20;1;3;NA
475;"Robertson";"0.9";46;118;5;113;NA;NA;NA
182;"Ince";"0.6";57;115;78;37;NA;NA;NA
332;"Pieters";"0.6";49;115;77;38;NA;NA;NA
51;"King";"1.4";70;113;90;23;NA;1;NA
270;"Blind";"1.2";53;112;12;100;NA;NA;NA
117;"Tomkins";"0.4";43;108;9;99;NA;NA;NA
274;"Mata";"2.1";69;108;101;7;NA;1;NA
232;"Wijnaldum";"2.5";67;107;101;6;NA;2;NA
543;"Zappacosta";"0.2";59;107;105;2;1;NA;NA
528;"Anderson";"0.4";45;104;NA;104;NA;NA;NA
294;"Lejeune";"0.2";44;102;38;64;NA;NA;NA
145;"Kenny";"0.2";43;101;54;47;NA;NA;NA
188;"Mounie";"0.9";57;99;44;55;NA;2;NA
5;"Mertesacker";"0.6";49;98;7;91;NA;NA;NA
331;"Cameron";"0.3";44;98;1;97;NA;NA;NA
125;"Puncheon";"0.5";46;97;37;60;NA;NA;NA
329;"Grant";"0.3";43;96;7;89;NA;1;NA
93;"Barnes";"0.4";52;95;41;54;NA;NA;NA
137;"Stekelenburg";"0.4";43;92;NA;92;NA;NA;NA
533;"Krychowiak";"0.3";50;92;41;51;NA;NA;NA
155;"Gueye";"0.9";48;90;56;34;NA;NA;NA
330;"Shawcross";"0.8";48;89;72;17;NA;NA;NA
453;"Lanzini";"0.6";68;87;87;NA;NA;NA;NA
529;"Woodman";"0.2";40;87;NA;87;NA;NA;NA
233;"Woodburn";"0.3";44;85;2;83;NA;NA;NA
403;"Kabasele";"0.3";45;83;68;15;NA;NA;NA
442;"Reid";"0.8";49;82;59;23;NA;NA;NA
549;"Ramsdale";"0.2";40;82;NA;82;NA;NA;NA
206;"Ndidi";"0.4";49;80;48;32;NA;1;NA
457;"Carroll";"0.3";59;80;63;17;NA;3;NA
86;"Hendrick";"0.3";54;79;67;12;NA;NA;NA
20;"Coquelin";"0.6";44;78;35;43;NA;NA;NA
278;"Herrera";"1.4";51;78;60;18;NA;NA;NA
429;"Yacob";"0.2";44;78;33;45;NA;NA;NA
393;"Sissoko";"0.5";54;77;58;19;NA;1;NA
444;"Ogbonna";"0.7";43;76;43;33;NA;NA;NA
462;"Malone";"0.2";43;76;38;38;NA;NA;NA
168;"Cranie";"0.3";40;75;25;50;NA;NA;NA
11;"Holding";"0.7";46;74;1;73;NA;NA;NA
438;"Adrián";"0.4";43;73;NA;73;NA;NA;NA
434;"Brunt";"0.7";52;71;NA;71;NA;NA;NA
296;"Shelvey";"0.5";53;70;34;36;NA;2;NA
134;"Benteke";"2.1";76;69;64;5;NA;3;NA
449;"Ayew";"1.2";69;68;4;64;1;NA;NA
215;"Lovren";"0.8";53;67;59;8;NA;1;NA
4;"Koscielny";"1.0";60;66;54;12;NA;NA;NA
35;"Adam Smith";"0.5";48;66;41;25;NA;NA;NA
39;"Arter";"0.5";49;65;32;33;NA;NA;NA
359;"Sigurdsson";"2.1";80;64;63;1;1;5;NA
425;"McAuley";"0.6";48;62;24;38;NA;NA;NA
124;"van Aanholt";"0.9";51;61;NA;61;NA;NA;NA
291;"Dummett";"0.1";42;61;NA;61;NA;NA;NA
84;"Gudmundsson";"0.1";50;60;52;8;NA;NA;NA
123;"Schlupp";"0.2";47;59;48;11;NA;NA;NA
175;"Billing";"0.3";45;59;NA;59;NA;NA;NA
221;"Sakho";"0.3";49;59;50;9;NA;NA;NA
473;"Jakupovic";"0.1";43;59;NA;59;NA;NA;NA
156;"Davies";"0.5";52;57;28;29;NA;NA;NA
273;"Lindelöf";"0.9";49;57;38;19;NA;1;NA
325;"Long";"0.4";57;57;28;29;NA;NA;NA
456;"Fernandes";"0.2";44;57;2;55;NA;NA;NA
335;"Johnson";"0.3";42;55;1;54;NA;NA;NA
236;"Sturridge";"0.7";80;54;10;44;NA;3;NA
113;"Batshuayi";"0.7";81;53;7;46;2;2;NA
154;"Schneiderlin";"0.6";48;53;31;22;NA;NA;NA
435;"Rondón";"0.5";60;53;21;32;NA;NA;NA
121;"Delaney";"0.3";42;52;2;50;NA;NA;NA
166;"Smith";"0.3";48;52;1;51;NA;NA;NA
287;"Darlow";"0.2";44;52;NA;52;NA;NA;NA
317;"Ward-Prowse";"0.5";51;52;25;27;NA;NA;NA
321;"Højbjerg";"0.3";44;52;NA;52;NA;NA;NA
204;"Amartey";"0.2";44;51;NA;51;NA;NA;NA
170;"Hudson";"0.2";40;49;NA;49;NA;NA;NA
8;"Gibbs";"0.3";50;47;26;21;NA;NA;NA
65;"Sidwell";"0.1";43;47;NA;47;NA;NA;NA
506;"Taylor";"0.4";40;46;NA;46;NA;NA;NA
136;"Robles";"0.2";43;45;NA;45;NA;NA;NA
82;"Arfield";"0.2";49;43;2;41;NA;NA;NA
241;"Bravo";"0.5";47;43;NA;43;NA;2;NA
400;"Prödl";"0.2";43;43;1;42;NA;NA;NA
467;"Aarons";"0.2";44;43;22;21;NA;NA;NA
358;"Olsson";"0.3";50;42;24;18;NA;NA;NA
129;"Cabaye";"0.3";54;41;31;10;NA;NA;NA
304;"Murphy";"0.4";45;41;NA;41;NA;NA;NA
562;"Ngoy";"0.2";45;41;NA;41;NA;NA;NA
210;"Ulloa";"0.2";48;40;1;39;NA;NA;NA
378;"Rose";"0.3";64;40;9;31;NA;NA;NA
418;"Okaka";"0.4";53;39;2;37;NA;NA;NA
523;"Ibrahimovic";"0.4";100;39;38;1;4;7;NA
42;"Stanislas";"0.1";59;36;NA;36;NA;NA;NA
433;"Field";"0.2";45;36;NA;36;NA;NA;NA
446;"Masuaku";"0.3";44;36;12;24;NA;NA;NA
547;"Green";"0.1";40;35;NA;35;NA;NA;NA
52;"Defoe";"1.6";76;34;8;26;NA;3;NA
119;"Ward";"0.3";48;34;24;10;NA;NA;NA
59;"Bong";"0.1";44;33;21;12;NA;NA;NA
152;"Besic";"0.2";44;33;2;31;NA;NA;NA
173;"van La Parra";"0.1";48;33;18;15;NA;NA;NA
47;"Fraser";"0.3";51;32;NA;32;NA;NA;NA
313;"Stephens";"0.2";45;32;2;30;NA;NA;NA
545;"Legzdins";"0.1";40;32;NA;32;NA;NA;NA
244;"Kompany";"2.2";58;31;24;7;NA;NA;NA
301;"Gayle";"0.7";61;31;19;12;NA;1;NA
319;"Clasie";"0.1";44;31;NA;31;NA;NA;NA
258;"Iheanacho";"0.7";66;30;15;15;NA;NA;NA
361;"Britton";"0.1";44;30;1;29;NA;NA;NA
365;"Fer";"0.3";54;30;14;16;NA;NA;NA
474;"James";"0.2";44;30;NA;30;NA;NA;NA
495;"Merino";"0.1";50;29;NA;29;NA;NA;NA
349;"Berahino";"0.3";57;28;2;26;NA;NA;NA
376;"Vorm";"0.1";49;28;3;25;NA;NA;NA
416;"Hughes";"0.4";46;28;13;15;NA;NA;NA
500;"Lemina";"0.2";50;28;NA;28;NA;NA;NA
26;"Welbeck";"0.8";73;27;4;23;NA;NA;NA
486;"Watson";"0.2";44;27;1;26;NA;NA;NA
554;"Lindegaard";"0.1";40;27;NA;27;NA;NA;NA
253;"Gündogan";"0.2";54;26;16;10;NA;1;NA
366;"Dyer";"0.1";44;26;14;12;NA;NA;NA
50;"Mousset";"0.1";49;25;1;24;NA;NA;NA
120;"Kelly";"0.2";42;25;1;24;NA;NA;NA
266;"Rojo";"0.1";54;25;7;18;NA;NA;NA
315;"Bednarek";"0.1";42;25;NA;25;NA;NA;NA
398;"Kaboul";"0.2";43;25;NA;25;NA;NA;NA
85;"Defour";"0.3";55;24;18;6;NA;NA;NA
305;"McCarthy";"0.1";44;24;NA;24;NA;NA;NA
169;"Stankovic";"0.1";40;23;NA;23;NA;NA;NA
178;"Whitehead";"0.1";44;23;NA;23;NA;NA;NA
389;"Wanyama";"0.3";48;23;1;22;NA;NA;NA
491;"Lokilo";"0.2";44;23;1;22;NA;NA;NA
499;"Sinclair";"0.2";49;23;NA;23;NA;NA;NA
557;"Palmer";"0.1";40;23;NA;23;NA;NA;NA
88;"Westwood";"0.1";44;22;1;21;NA;NA;NA
298;"Diamé";"0.1";47;22;8;14;NA;NA;NA
417;"Deeney";"0.4";63;22;4;18;NA;NA;NA
81;"Taylor";"0.2";43;21;1;20;NA;NA;NA
445;"Byram";"0.1";43;21;NA;21;NA;NA;NA
24;"Wilshere";"0.2";54;20;NA;20;NA;NA;NA
490;"Pröpper";"0.1";54;20;18;2;NA;1;NA
322;"Boufal";"0.2";57;19;15;4;NA;NA;NA
448;"Snodgrass";"0.5";58;19;1;18;NA;NA;NA
102;"Moses";"0.6";64;18;2;16;NA;NA;NA
148;"Mirallas";"1.0";61;18;2;16;NA;NA;NA
517;"Izquierdo";"0.1";59;18;15;3;NA;1;NA
542;"Bony";"0.2";57;18;9;9;NA;NA;NA
49;"Afobe";"0.2";57;17;2;15;NA;NA;NA
181;"Kachunga";"0.2";58;17;10;7;NA;NA;NA
326;"Austin";"0.3";60;17;8;9;NA;NA;NA
396;"Pantilimon";"0.1";45;17;NA;17;NA;NA;NA
441;"Collins";"0.1";43;17;NA;17;NA;NA;NA
36;"Mings";"0.2";43;16;NA;16;NA;NA;NA
64;"Kayal";"0.1";44;16;NA;16;NA;NA;NA
256;"Bernardo Silva";"0.6";75;16;14;2;NA;NA;NA
410;"Behrami";"0.1";45;16;NA;16;NA;NA;NA
323;"Sims";"0.1";44;15;NA;15;NA;NA;NA
427;"Chadli";"0.2";57;15;NA;15;NA;NA;NA
550;"Souttar";"0.1";40;15;NA;15;NA;NA;NA
565;"Gazzaniga";"0.1";44;15;NA;15;NA;NA;NA
9;"Jenkinson";"0.2";45;14;NA;14;NA;NA;NA
343;"Imbula";"0.1";45;14;NA;14;NA;NA;NA
176;"Lolley";"0.1";44;13;NA;13;NA;NA;NA
404;"Janmaat";"0.1";49;13;NA;13;NA;NA;NA
450;"Noble";"0.2";54;13;8;5;NA;NA;NA
1;"Ospina";"0.2";48;12;NA;12;NA;NA;NA
15;"Walcott";"0.6";71;12;NA;12;NA;NA;NA
25;"Giroud";"1.1";82;12;2;10;NA;NA;NA
356;"van der Hoorn";"0.1";44;12;NA;12;NA;NA;NA
362;"Fulton";"0.1";44;12;NA;12;NA;NA;NA
430;"McClean";"0.1";48;12;3;9;NA;NA;NA
454;"Antonio";"0.3";74;12;1;11;NA;NA;NA
480;"Chambers";"0.2";47;12;NA;12;NA;NA;NA
202;"Drinkwater";"0.2";48;11;7;4;NA;NA;NA
268;"Darmian";"0.2";51;11;NA;11;NA;NA;NA
309;"Targett";"0.1";43;11;NA;11;NA;NA;NA
515;"Kaikai";"0.1";44;11;NA;11;NA;NA;NA
519;"Clucas";"0.0";49;11;6;5;NA;NA;NA
160;"Sandro";"0.4";71;10;7;3;NA;NA;NA
249;"Yaya Touré";"0.8";61;10;1;9;1;NA;NA
279;"Lingard";"0.3";58;10;3;7;NA;NA;NA
426;"Livermore";"0.2";49;10;6;4;NA;NA;NA
458;"Sakho";"0.2";55;10;3;7;NA;NA;NA
466;"de Jong";"0.1";49;10;NA;10;NA;NA;NA
555;"Henry";"0.0";40;10;NA;10;NA;NA;NA
141;"Pennington";"0.1";40;9;NA;9;NA;NA;NA
208;"Iborra";"0.1";58;9;7;2;NA;NA;NA
261;"Romero";"0.1";48;9;NA;9;NA;1;NA
371;"Llorente";"0.2";74;9;6;3;NA;NA;NA
431;"Leko";"0.0";45;9;NA;9;NA;NA;NA
508;"Wilson";"0.2";40;9;NA;9;NA;NA;NA
157;"Lookman";"0.1";52;8;5;3;NA;NA;NA
214;"Karius";"0.2";48;8;NA;8;NA;NA;NA
314;"McQueen";"0.1";43;8;NA;8;NA;NA;NA
40;"Pugh";"0.1";48;7;6;1;NA;NA;NA
89;"Walters";"0.1";51;7;NA;7;NA;NA;NA
95;"Eduardo";"0.1";48;7;NA;7;NA;NA;NA
96;"Caballero";"0.1";48;7;NA;7;NA;NA;NA
158;"Klaassen";"0.3";70;7;NA;7;NA;NA;NA
167;"Hefele";"0.1";42;7;NA;7;NA;NA;NA
190;"Hamer";"0.1";44;7;NA;7;NA;NA;NA
334;"Bardsley";"0.1";43;7;1;6;NA;NA;NA
338;"Adam";"0.1";47;7;NA;7;NA;NA;NA
415;"Pereyra";"0.1";58;7;5;2;NA;NA;NA
478;"Murphy";"0.1";50;7;4;3;NA;NA;NA
185;"Wells";"0.0";49;6;NA;6;NA;NA;NA
228;"Lallana";"0.3";73;6;NA;6;NA;NA;NA
312;"Pied";"0.1";42;6;NA;6;NA;NA;NA
482;"Riedewald";"0.1";47;6;NA;6;NA;NA;NA
485;"Bartley";"0.1";44;6;NA;6;NA;NA;NA
521;"Hadergjonaj";"0.0";45;6;6;NA;NA;NA;NA
527;"Carrillo";"0.0";55;6;4;2;NA;NA;NA
43;"Gosling";"0.1";49;5;2;3;NA;NA;NA
130;"Sako";"0.1";49;5;1;4;NA;NA;NA
184;"Williams";"0.0";49;5;1;4;NA;NA;NA
207;"Musa";"0.4";62;5;1;4;NA;NA;NA
212;"Slimani";"0.3";67;5;4;1;NA;NA;NA
237;"Ings";"0.1";54;5;1;4;NA;NA;NA
340;"Arnautovic";"0.5";68;5;4;1;NA;NA;NA
355;"Kingsley";"0.0";45;5;NA;5;NA;NA;NA
369;"Narsingh";"0.0";48;5;3;2;NA;NA;NA
525;"Hoedt";"0.0";50;5;4;1;NA;NA;NA
566;"Whiteman";"0.0";40;5;NA;5;NA;NA;NA
69;"Murphy";"0.0";48;4;NA;4;NA;NA;NA
251;"Fernando";"0.1";45;4;NA;4;NA;NA;NA
333;"Muniesa";"0.0";45;4;NA;4;NA;NA;NA
360;"Routledge";"0.1";52;4;NA;4;NA;NA;NA
484;"Mendy";"0.4";63;4;2;2;NA;NA;NA
524;"Burke";"0.0";52;4;1;3;NA;NA;NA
556;"Edwards";"0.0";40;4;NA;4;NA;NA;NA
73;"Baldock";"0.0";49;3;NA;3;NA;NA;NA
153;"Lennon";"0.1";54;3;2;1;NA;NA;NA
179;"Bunn";"0.0";45;3;NA;3;NA;NA;NA
180;"Scannell";"0.0";45;3;NA;3;NA;NA;NA
195;"Benalouane";"0.1";43;3;NA;3;NA;NA;NA
205;"Mendy";"0.0";45;3;NA;3;NA;NA;NA
217;"Clyne";"0.3";53;3;NA;3;NA;NA;NA
460;"Valencia";"0.0";50;3;NA;3;NA;NA;NA
471;"Musonda";"0.0";48;3;NA;3;NA;NA;NA
481;"Brown";"0.0";53;3;3;NA;NA;NA;NA
539;"Vlasic";"0.0";55;3;NA;3;NA;NA;NA
560;"Nketiah";"0.0";50;3;NA;3;NA;NA;NA
561;"Rodon";"0.0";40;3;NA;3;NA;NA;NA
