"X1";"X2";"X3";"X4";"X5";"X6";"X7";"X8";"X9";"X10"
"2633702";"1";"122";"2";"3xc";"1005";"0";"0";"0";"Agüero"
"2621075";"2";"119";"7";"wildcard";"1005";"0";"0";"0";"Agüero"
"3144802";"3";"105";"3";"";"1007";"0";"1";"0";"Agüero"
"2852523";"4";"123";"20";"3xc";"1003";"0";"0";"0";"Agüero"
"278612";"5";"115";"12";"";"1005";"5";"1";"0";"Agüero"
"626313";"6";"118";"11";"3xc";"1005";"0";"0";"0";"Agüero"
"559679";"7";"94";"2";"";"1006";"0";"1";"0";"Agüero"
"1813759";"8";"100";"4";"wildcard";"1006";"0";"0";"0";"Agüero"
"452267";"9";"116";"0";"";"1005";"0";"1";"0";"Agüero"
"582028";"9";"126";"7";"3xc";"1004";"0";"1";"0";"Agüero"
"2410401";"9";"103";"10";"";"1005";"0";"1";"0";"Agüero"
"471989";"12";"114";"2";"3xc";"1005";"0";"1";"0";"Agüero"
"829679";"13";"98";"2";"";"1006";"0";"1";"0";"Agüero"
"1273839";"14";"130";"2";"3xc";"1005";"0";"1";"0";"Agüero"
"3342742";"14";"116";"13";"";"1004";"10";"1";"0";"Agüero"
"464568";"16";"102";"4";"";"1004";"0";"0";"0";"Agüero"
"1491986";"16";"96";"1";"";"1005";"5";"0";"0";"Agüero"
"2992849";"16";"110";"3";"";"1005";"5";"0";"0";"Agüero"
"2533165";"19";"116";"4";"";"1003";"10";"1";"0";"Agüero"
"3313612";"19";"109";"5";"";"1005";"5";"1";"0";"Agüero"
"890626";"21";"92";"9";"";"1007";"0";"2";"4";"Agüero"
"1206813";"22";"113";"0";"";"1006";"5";"0";"0";"Agüero"
"1774411";"22";"114";"2";"";"1005";"0";"0";"0";"Agüero"
"2702629";"22";"124";"0";"3xc";"1006";"5";"0";"0";"Agüero"
"4289579";"22";"119";"11";"";"1004";"0";"0";"0";"Agüero"
"50908";"26";"118";"4";"";"1005";"0";"1";"0";"Agüero"
"2554389";"26";"130";"5";"3xc";"1004";"4";"1";"0";"Agüero"
"2718404";"26";"93";"7";"";"1007";"5";"1";"0";"Agüero"
"2954515";"29";"124";"5";"3xc";"1004";"5";"2";"4";"Agüero"
"17065";"30";"93";"8";"";"1005";"0";"0";"0";"Agüero"
"4298923";"30";"115";"0";"";"1005";"0";"0";"0";"Salah"
"791003";"32";"106";"9";"3xc";"1005";"0";"1";"0";"Agüero"
"1200650";"32";"114";"3";"3xc";"1003";"0";"1";"0";"Agüero"
"2575352";"32";"127";"7";"3xc";"1004";"5";"1";"0";"Agüero"
"1292884";"35";"108";"4";"";"1006";"0";"0";"0";"Agüero"
"4367669";"36";"111";"2";"";"1005";"20";"1";"0";"Agüero"
"2867838";"37";"111";"0";"";"1006";"5";"2";"4";"Agüero"
"639556";"38";"153";"0";"bboost";"1004";"0";"3";"8";"Agüero"
"320988";"39";"104";"0";"";"1006";"0";"0";"0";"Agüero"
"654756";"39";"107";"4";"";"1007";"0";"0";"0";"Agüero"
"2688740";"39";"96";"4";"";"1006";"0";"0";"0";"Agüero"
"3008874";"39";"111";"-1";"";"1005";"0";"0";"0";"Agüero"
"3879215";"39";"109";"0";"";"1005";"20";"0";"0";"Agüero"
"4398604";"39";"107";"5";"";"1006";"0";"0";"0";"Agüero"
"486403";"45";"119";"0";"3xc";"1005";"19";"1";"0";"Agüero"
"545106";"45";"91";"2";"";"1006";"40";"1";"0";"Agüero"
"685092";"45";"114";"3";"";"1005";"0";"1";"0";"Agüero"
